"event","experiment time","system time","system time text"
"START",0.000000000E0,1717582618.636,"2024-06-05 12:16:58.636 UTC+02:00"
"PAUSE",4.073865008E1,1717582659.375,"2024-06-05 12:17:39.375 UTC+02:00"
