sensor,language,tone,participant,script,time_2,autocorrelation_mean,autocorrelation_median,autocorrelation_std,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,ch,bus,subject1,t1,2.0,3.8618321638601024e-08,3.16157641e-08,3.5763961390781263e-08,-5.551323744e-09,2.12729016e-07,0.0
autocorrelations,ch,bus,subject1,t1,4.0,-2.6149808019345363e-08,-2.834929963e-08,1.2413839875965657e-08,-4.717071045e-08,6.97402549e-10,0.0
autocorrelations,ch,bus,subject1,t1,6.0,-2.2675887673388663e-08,-2.48461218e-08,1.34249224183636e-08,-4.740881174e-08,-1.029778437e-10,0.0
autocorrelations,ch,bus,subject1,t1,8.0,8.3861734387133e-09,8.792829561e-09,7.748069318777743e-09,-8.603232168e-09,2.477835918e-08,0.0
autocorrelations,ch,bus,subject1,t1,10.0,6.799234716610309e-09,5.186955308e-09,7.644335957132331e-09,-5.135774695e-09,2.331853528e-08,0.0
autocorrelations,ch,bus,subject1,t1,12.0,-5.428534627236082e-09,-4.268144444e-09,7.0539549886514455e-09,-1.97475247e-08,7.252587996e-09,0.0
autocorrelations,ch,bus,subject1,t1,14.0,-1.573332042248453e-08,-1.516699933e-08,6.1542171263406375e-09,-3.138149263e-08,-1.105253785e-09,0.0
autocorrelations,ch,bus,subject1,t1,16.0,9.144447441920618e-09,6.879660101e-09,1.0679622949902997e-08,-1.250513659e-08,2.912635874e-08,0.0
autocorrelations,ch,bus,subject1,t1,18.0,2.4153297439175257e-08,2.534393725e-08,6.500702239753674e-09,1.009560301e-08,3.864766997e-08,0.0
autocorrelations,ch,bus,subject1,t1,20.0,3.673480014486206e-09,6.418126528e-09,9.711122741639027e-09,-1.52836211e-08,2.280042893e-08,0.0
autocorrelations,ch,bus,subject1,t2,2.0,1.7121027205371138e-07,1.797243085e-07,7.734127218825083e-08,2.72130714e-08,3.181630746e-07,0.0
autocorrelations,ch,bus,subject1,t2,4.0,-6.950146039266906e-08,-7.601738187e-08,5.7692035664084934e-08,-1.667473473e-07,5.513932631e-08,0.0
autocorrelations,ch,bus,subject1,t2,6.0,-1.1765576317226804e-07,-1.235711853e-07,3.404160427735892e-08,-1.719449237e-07,-3.677465068e-08,0.0
autocorrelations,ch,bus,subject1,t2,8.0,6.589757559511442e-09,5.407496938e-09,4.000290837852488e-08,-7.220293308e-08,8.913092594e-08,0.0
autocorrelations,ch,bus,subject1,t2,10.0,4.353931589876289e-08,5.042117443e-08,3.550339726132483e-08,-3.632589009e-08,9.858420708e-08,0.0
autocorrelations,ch,bus,subject1,t2,12.0,-8.114478732944331e-08,-8.461040443e-08,3.1884425899453026e-08,-1.381669858e-07,-4.499233606e-09,0.0
autocorrelations,ch,bus,subject1,t2,14.0,-7.69581062166763e-08,-8.436981388e-08,4.201684915797253e-08,-1.410554309e-07,1.985060446e-08,0.0
autocorrelations,ch,bus,subject1,t2,16.0,7.652729530781445e-08,8.1830959e-08,3.7702995648905335e-08,-9.729935507e-09,1.465551503e-07,0.0
autocorrelations,ch,bus,subject1,t2,18.0,1.2379710636938145e-07,1.236352423e-07,2.33841461170021e-08,5.709045318e-08,1.606705378e-07,0.0
autocorrelations,ch,bus,subject1,t2,20.0,1.6060653344939086e-08,1.27798687e-08,3.724059246601183e-08,-5.2880956e-08,9.85136276e-08,0.0
autocorrelations,ch,bus,subject1,t3,2.0,3.5737542754907214e-08,3.543396258e-08,2.1790157958969323e-08,3.064415563e-09,7.888748466e-08,0.0
autocorrelations,ch,bus,subject1,t3,4.0,-3.350949233982989e-09,-3.878543379e-09,2.872544444760549e-09,-1.03151e-08,2.255729417e-09,0.0
autocorrelations,ch,bus,subject1,t3,6.0,-1.6822194465876286e-08,-1.62773037e-08,3.286279746642869e-09,-2.188917528e-08,-1.039801637e-08,0.0
autocorrelations,ch,bus,subject1,t3,8.0,-2.3479112124742265e-08,-2.342261586e-08,2.1554069302668512e-09,-2.685410697e-08,-1.826451671e-08,0.0
autocorrelations,ch,bus,subject1,t3,10.0,-5.000855335475773e-09,-3.358224572e-09,6.606257162483304e-09,-1.777238732e-08,3.635926398e-09,0.0
autocorrelations,ch,bus,subject1,t3,12.0,6.792629041608248e-10,3.449505e-10,1.0026548884007428e-09,-6.240079358e-10,2.626049077e-09,0.0
autocorrelations,ch,bus,subject1,t3,14.0,5.513021019999999e-09,5.45930096e-09,1.3146814484440982e-09,2.428548364e-09,8.567128617e-09,0.0
autocorrelations,ch,bus,subject1,t3,16.0,1.7908466553628864e-08,1.906153032e-08,3.892805332193633e-09,8.967002455e-09,2.234096843e-08,0.0
autocorrelations,ch,bus,subject1,t3,18.0,5.338698483020618e-09,4.100865163e-09,4.049825242663223e-09,1.428374106e-09,1.653004993e-08,0.0
autocorrelations,ch,bus,subject1,t3,20.0,-6.8869455579966676e-09,-7.145814636e-09,6.274669039459559e-09,-1.765196948e-08,2.124601868e-09,0.0
autocorrelations,ch,bus,subject1,t4,2.0,1.3558738521172168e-07,1.419212654e-07,1.4371316928502088e-07,-1.21839104e-07,4.025531234e-07,0.0
autocorrelations,ch,bus,subject1,t4,4.0,-1.3181112087927838e-07,-1.31199348e-07,4.040503980111073e-08,-1.985852575e-07,-3.952762024e-08,0.0
autocorrelations,ch,bus,subject1,t4,6.0,-3.058217838695382e-08,-2.892335591e-08,6.327644564556227e-08,-1.656748605e-07,9.47546412e-08,0.0
autocorrelations,ch,bus,subject1,t4,8.0,4.341700564576876e-08,4.470059128e-08,3.708001261552019e-08,-3.023359184e-08,1.090514627e-07,0.0
autocorrelations,ch,bus,subject1,t4,10.0,-2.663482736152578e-09,-1.870154085e-09,3.453369181327016e-08,-6.889308984e-08,5.988049043e-08,0.0
autocorrelations,ch,bus,subject1,t4,12.0,-2.87069466856165e-08,-2.855874944e-08,3.150106965485488e-08,-8.16228724e-08,2.283124113e-08,0.0
autocorrelations,ch,bus,subject1,t4,14.0,-5.966197347866287e-08,-5.832175014e-08,3.394173064868508e-08,-1.218761976e-07,1.577881733e-08,0.0
autocorrelations,ch,bus,subject1,t4,16.0,4.9992974408534024e-08,5.733314879e-08,4.843570018089567e-08,-6.824227163e-08,1.335444434e-07,0.0
autocorrelations,ch,bus,subject1,t4,18.0,1.0101711324773197e-07,9.960253587e-08,3.3717171813909024e-08,1.020400449e-08,1.568270502e-07,0.0
autocorrelations,ch,bus,subject1,t4,20.0,-6.700295278170114e-08,-7.249746972e-08,6.64231716552114e-08,-1.846782388e-07,6.834916374e-08,0.0
autocorrelations,ch,bus,subject2,t1,2.0,1.4274213113814434e-07,1.468421884e-07,2.48830186573158e-08,1.0026472e-07,2.042780537e-07,0.0
autocorrelations,ch,bus,subject2,t1,4.0,6.548733532309278e-08,6.484886099e-08,1.9706355752341892e-08,3.432163575e-08,1.000075846e-07,0.0
autocorrelations,ch,bus,subject2,t1,6.0,9.660989931135573e-09,7.909484034e-09,1.4458701927383194e-08,-1.260517441e-08,3.449226485e-08,0.0
autocorrelations,ch,bus,subject2,t1,8.0,-1.5679411565051546e-08,-1.598579762e-08,1.686508572151738e-09,-1.860563418e-08,-1.041012256e-08,0.0
autocorrelations,ch,bus,subject2,t1,10.0,-2.6309424059587633e-08,-2.814674809e-08,5.67985046429652e-09,-3.603762056e-08,-1.771735805e-08,0.0
autocorrelations,ch,bus,subject2,t1,12.0,-3.964330468247424e-08,-4.054104715e-08,2.352419706352621e-09,-4.2627595e-08,-3.575690518e-08,0.0
autocorrelations,ch,bus,subject2,t1,14.0,-4.854236652185567e-08,-4.918982326e-08,4.1256340700077925e-09,-5.429132016e-08,-4.105708284e-08,0.0
autocorrelations,ch,bus,subject2,t1,16.0,-3.2138106030721654e-08,-3.001322438e-08,1.2302403833860342e-08,-5.157240804e-08,-1.348814361e-08,0.0
autocorrelations,ch,bus,subject2,t1,18.0,-9.15344104084536e-09,-9.675778078e-09,1.779761869670404e-09,-1.328888864e-08,-5.862792579e-09,0.0
autocorrelations,ch,bus,subject2,t1,20.0,-1.606566159275862e-08,-1.638414395e-08,1.463259862818949e-09,-1.847190809e-08,-1.147415589e-08,0.0
autocorrelations,ch,bus,subject2,t2,2.0,1.3771060871752578e-07,1.290596015e-07,2.4290069399315664e-08,1.018943686e-07,1.855732694e-07,0.0
autocorrelations,ch,bus,subject2,t2,4.0,5.575129573597938e-08,4.728850388e-08,1.6968379797943376e-08,3.594621309e-08,1.005718064e-07,0.0
autocorrelations,ch,bus,subject2,t2,6.0,4.1030261586907215e-08,4.209508372e-08,1.0500971869611686e-08,2.626107888e-08,5.561314006e-08,0.0
autocorrelations,ch,bus,subject2,t2,8.0,4.564517661824744e-08,4.598791743e-08,1.1468360135772112e-08,1.764685399e-08,6.040899715e-08,0.0
autocorrelations,ch,bus,subject2,t2,10.0,-3.4237948097e-09,6.314484907e-09,1.6841546142371753e-08,-3.589099495e-08,1.670413888e-08,0.0
autocorrelations,ch,bus,subject2,t2,12.0,-3.6026268708865986e-08,-3.554106783e-08,4.451888478956658e-09,-4.368498686e-08,-2.907911918e-08,0.0
autocorrelations,ch,bus,subject2,t2,14.0,-1.33233023494634e-08,-1.374130121e-08,6.361913834904965e-09,-2.808488563e-08,4.494866854e-09,0.0
autocorrelations,ch,bus,subject2,t2,16.0,-1.1810421211069073e-08,-1.569769299e-08,1.610874468127527e-08,-3.009847324e-08,1.11096328e-08,0.0
autocorrelations,ch,bus,subject2,t2,18.0,-6.299040389762886e-08,-7.24458399e-08,1.563864526008154e-08,-7.764377948e-08,-3.042001736e-08,0.0
autocorrelations,ch,bus,subject2,t2,20.0,-7.610778548954024e-08,-7.99882364e-08,1.0947909287873482e-08,-8.845938981e-08,-5.724635183e-08,0.0
autocorrelations,ch,bus,subject2,t3,2.0,9.566527874494845e-08,9.367644689e-08,2.2281837999502218e-08,5.671461708e-08,1.413964097e-07,0.0
autocorrelations,ch,bus,subject2,t3,4.0,4.033086267824743e-08,3.800578085e-08,1.565321568484335e-08,1.34736189e-08,7.297844348e-08,0.0
autocorrelations,ch,bus,subject2,t3,6.0,1.822262326464485e-08,1.828803373e-08,8.596121144349985e-09,-7.041624395e-11,3.243116958e-08,0.0
autocorrelations,ch,bus,subject2,t3,8.0,1.7460634218202267e-08,1.72615973e-08,8.653679735961688e-09,-7.276036302e-10,3.302783863e-08,0.0
autocorrelations,ch,bus,subject2,t3,10.0,2.0851314017010304e-08,2.049282172e-08,7.0155378621448995e-09,9.162274608e-09,3.270461796e-08,0.0
autocorrelations,ch,bus,subject2,t3,12.0,-3.101479418157732e-09,-3.700024736e-09,1.0509346932602417e-08,-2.023624824e-08,2.47362108e-08,0.0
autocorrelations,ch,bus,subject2,t3,14.0,-2.8115212221804122e-08,-2.871629406e-08,1.1182211297519146e-08,-4.657291293e-08,-2.740554127e-09,0.0
autocorrelations,ch,bus,subject2,t3,16.0,-4.4753548979690734e-08,-4.505022168e-08,9.200931842208178e-09,-6.171397341e-08,-2.702576e-08,0.0
autocorrelations,ch,bus,subject2,t3,18.0,-3.3877323024948455e-08,-3.410236555e-08,1.0112803969329066e-08,-5.748243874e-08,-1.742953997e-08,0.0
