sensor,language,tone,participant,script,time,autocorrelation_mean,autocorrelation_standard deviation,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,ch,bus,jack,t1,0.1,9.485511174166666e-08,6.453184335268097e-08,2.990718356e-08,2.12729016e-07,0.0
autocorrelations,ch,bus,jack,t1,0.2,8.137934063333334e-08,3.901740711715515e-08,2.741568677e-08,1.254802726e-07,0.0
autocorrelations,ch,bus,jack,t1,0.3,7.859697845499999e-08,2.3835842445791433e-08,4.790051167e-08,1.157698565e-07,0.0
autocorrelations,ch,bus,jack,t1,0.4,6.572112170333334e-08,1.5314147386184083e-08,4.391413804e-08,8.298846113e-08,0.0
autocorrelations,ch,bus,jack,t1,0.5,5.7234893838333335e-08,1.055036419669064e-08,4.049186194e-08,7.220667044e-08,0.0
autocorrelations,ch,bus,jack,t1,0.6,4.808150970666666e-08,8.959832069253658e-09,3.402735151e-08,5.916165101e-08,0.0
autocorrelations,ch,bus,jack,t1,0.7,3.953022982166667e-08,9.655761244238326e-09,2.376348838e-08,5.286351285e-08,0.0
autocorrelations,ch,bus,jack,t1,0.8,3.7139601196666666e-08,8.745783783712895e-09,2.75011314e-08,5.035430387e-08,0.0
autocorrelations,ch,bus,jack,t1,0.9,3.1626363044999996e-08,7.156465332596091e-09,1.975403805e-08,4.022638622e-08,0.0
autocorrelations,ch,bus,jack,t1,1.0,2.7121172236666667e-08,8.103822461366254e-09,1.80310254e-08,4.212596103e-08,0.0
autocorrelations,ch,bus,jack,t1,1.1,2.23640483335e-08,1.1982693838642333e-08,5.292374251e-09,3.752110031e-08,0.0
autocorrelations,ch,bus,jack,t1,1.2,2.097075210283333e-08,7.6383727220485e-09,9.594454047e-09,3.16157641e-08,0.0
autocorrelations,ch,bus,jack,t1,1.3,1.3927191340333333e-08,4.184951489070035e-09,8.061613301e-09,1.857205043e-08,0.0
autocorrelations,ch,bus,jack,t1,1.4,6.7422180485e-09,2.0527327272460723e-09,4.38522366e-09,9.514571449e-09,0.0
autocorrelations,ch,bus,jack,t1,1.5,1.5218048373833334e-09,4.270855386503476e-09,-3.217727401e-09,8.773311429e-09,0.0
autocorrelations,ch,bus,jack,t1,1.6,-1.7104964551666664e-09,2.963300252598387e-09,-5.551323744e-09,2.222474326e-09,0.0
autocorrelations,ch,bus,jack,t1,1.7,-1.9983890345833335e-09,2.4812117064931487e-09,-5.878094258e-09,6.97402549e-10,0.0
autocorrelations,ch,bus,jack,t1,1.8,-8.460231376166667e-09,3.642474198394096e-09,-1.296356609e-08,-2.661431831e-09,0.0
autocorrelations,ch,bus,jack,t1,1.9,-1.2928177809666666e-08,3.1399742825036444e-09,-1.669926906e-08,-7.589672938e-09,0.0
autocorrelations,ch,bus,jack,t1,2.0,-1.4753223082666667e-08,5.279488327037501e-09,-2.24018578e-08,-7.147294586e-09,0.0
autocorrelations,ch,bus,jack,t1,2.1,-1.7155933294666665e-08,5.753455379044825e-09,-2.313547882e-08,-7.852362708e-09,0.0
autocorrelations,ch,bus,jack,t1,2.2,-2.0903224476666667e-08,6.373787802983778e-09,-3.095306129e-08,-1.526276632e-08,0.0
autocorrelations,ch,bus,jack,t1,2.3,-2.4671674391666664e-08,4.09710366891371e-09,-3.132283681e-08,-1.90060862e-08,0.0
autocorrelations,ch,bus,jack,t1,2.4,-2.4599696245e-08,6.2448920510370125e-09,-3.487445456e-08,-1.747439467e-08,0.0
autocorrelations,ch,bus,jack,t1,2.5,-2.8110507868333332e-08,6.2012053655409516e-09,-3.493149894e-08,-1.942203961e-08,0.0
autocorrelations,ch,bus,jack,t1,2.6,-3.049573542e-08,5.131944870008894e-09,-3.833931241e-08,-2.45988632e-08,0.0
autocorrelations,ch,bus,jack,t1,2.7,-3.3766578286666666e-08,2.7023754203569324e-09,-3.801168411e-08,-2.96208308e-08,0.0
autocorrelations,ch,bus,jack,t1,2.8,-3.481391172166667e-08,3.3655904401148313e-09,-3.878099536e-08,-3.020777838e-08,0.0
autocorrelations,ch,bus,jack,t1,2.9,-3.8148528463333337e-08,3.162780380730921e-09,-4.147634725e-08,-3.191890977e-08,0.0
autocorrelations,ch,bus,jack,t1,3.0,-3.8909980306666666e-08,3.5776467530302477e-09,-4.28617942e-08,-3.407231054e-08,0.0
autocorrelations,ch,bus,jack,t1,3.1,-3.9573457481666665e-08,3.761207439577725e-09,-4.55714399e-08,-3.517895105e-08,0.0
autocorrelations,ch,bus,jack,t1,3.2,-4.011263282666667e-08,4.441644922230557e-09,-4.717071045e-08,-3.445550237e-08,0.0
autocorrelations,ch,bus,jack,t1,3.3,-3.815533013833333e-08,5.272943155225533e-09,-4.499431978e-08,-3.10673436e-08,0.0
autocorrelations,ch,bus,jack,t1,3.4,-3.883510734333333e-08,5.8024560262761674e-09,-4.740881174e-08,-3.08018893e-08,0.0
autocorrelations,ch,bus,jack,t1,3.5,-4.032330217833333e-08,5.200701205452549e-09,-4.699268095e-08,-3.404641128e-08,0.0
autocorrelations,ch,bus,jack,t1,3.6,-3.617093514e-08,2.2397377265897572e-09,-3.906521734e-08,-3.298335963e-08,0.0
autocorrelations,ch,bus,jack,t1,3.7,-3.499231193e-08,2.535140054297666e-09,-3.77845939e-08,-3.106171295e-08,0.0
autocorrelations,ch,bus,jack,t1,3.8,-3.110266554166667e-08,2.6185370528210435e-09,-3.502961457e-08,-2.702464365e-08,0.0
autocorrelations,ch,bus,jack,t1,3.9,-3.312658279666666e-08,3.06502168002103e-09,-3.645669351e-08,-2.867402061e-08,0.0
autocorrelations,ch,bus,jack,t1,4.0,-2.8436022336666666e-08,3.57195883313951e-09,-3.473065607e-08,-2.429291502e-08,0.0
autocorrelations,ch,bus,jack,t1,4.1,-2.209505250833333e-08,5.3289587232917825e-09,-3.049299366e-08,-1.512387765e-08,0.0
autocorrelations,ch,bus,jack,t1,4.2,-2.0167461224999998e-08,4.724274689810473e-09,-2.914728809e-08,-1.5435275e-08,0.0
autocorrelations,ch,bus,jack,t1,4.3,-1.6744131512666668e-08,6.054386951438154e-09,-2.48461218e-08,-9.58054792e-09,0.0
autocorrelations,ch,bus,jack,t1,4.4,-1.4159540690166667e-08,5.293076364554725e-09,-2.039247705e-08,-4.569166671e-09,0.0
autocorrelations,ch,bus,jack,t1,4.5,-8.54287746495e-09,5.278056054739978e-09,-1.446569497e-08,-1.029778437e-10,0.0
autocorrelations,ch,bus,jack,t1,4.6,-6.443408448333333e-09,2.2067753009706806e-09,-9.945010952e-09,-2.638130525e-09,0.0
autocorrelations,ch,bus,jack,t1,4.7,-6.667308288666666e-09,1.3494206305441254e-09,-8.464920866e-09,-4.313981707e-09,0.0
autocorrelations,ch,bus,jack,t1,4.8,-3.1848125549999998e-09,1.536558202842503e-09,-5.40220748e-09,-1.333376819e-09,0.0
autocorrelations,ch,bus,jack,t1,4.9,-2.4664626443333332e-09,1.0492321320766056e-09,-4.025956744e-09,-1.072187954e-09,0.0
autocorrelations,ch,bus,jack,t1,5.0,4.1952304121666694e-10,2.425920818756705e-09,-2.95470465e-09,3.182948879e-09,0.0
autocorrelations,ch,bus,jack,t1,5.1,-1.186524631935e-09,3.635858835344365e-09,-7.168801131e-09,4.428647965e-09,0.0
autocorrelations,ch,bus,jack,t1,5.2,2.7663463359999997e-09,6.454350228018937e-09,-8.603232168e-09,9.479126004e-09,0.0
autocorrelations,ch,bus,jack,t1,5.3,1.7516588353666664e-09,5.753126682494838e-09,-6.310291482e-09,9.572849568e-09,0.0
autocorrelations,ch,bus,jack,t1,5.4,2.4001690335e-09,3.741823341050751e-09,-2.428298883e-09,8.328857101e-09,0.0
autocorrelations,ch,bus,jack,t1,5.5,3.0744757515499998e-09,3.150520420392789e-09,3.817339623e-10,8.890635007e-09,0.0
autocorrelations,ch,bus,jack,t1,5.6,4.870154826166667e-09,1.4294018325136655e-09,2.437370858e-09,6.665936119e-09,0.0
autocorrelations,ch,bus,jack,t1,5.7,8.135609559166666e-09,1.6363894565594697e-09,5.925933934e-09,1.065292795e-08,0.0
autocorrelations,ch,bus,jack,t1,5.8,9.546464672833335e-09,1.8591713815329645e-09,6.890490353e-09,1.178114697e-08,0.0
autocorrelations,ch,bus,jack,t1,5.9,1.1646552592333336e-08,1.8398001467634373e-09,8.201161324e-09,1.384193615e-08,0.0
