sensor,language,tone,participant,script,time_1,autocorrelation_mean,autocorrelation_median,autocorrelation_std,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,ch,bus,subject1,t1,1.0,6.226504329122449e-08,5.256731295e-08,3.5077665017410955e-08,2.376348838e-08,2.12729016e-07,0.0
autocorrelations,ch,bus,subject1,t1,2.0,1.4149862904577552e-08,1.083009157e-08,1.3296255986380201e-08,-5.551323744e-09,4.212596103e-08,0.0
autocorrelations,ch,bus,subject1,t1,3.0,-1.7303180215846938e-08,-1.747439467e-08,9.347796061495644e-09,-3.493149894e-08,6.97402549e-10,0.0
autocorrelations,ch,bus,subject1,t1,4.0,-3.5722878293061226e-08,-3.569478297e-08,6.065706391476545e-09,-4.717071045e-08,-1.942203961e-08,0.0
autocorrelations,ch,bus,subject1,t1,5.0,-3.348540105061224e-08,-3.429635873e-08,6.9436726906431355e-09,-4.740881174e-08,-1.512387765e-08,0.0
autocorrelations,ch,bus,subject1,t1,6.0,-1.021936756397347e-08,-7.692880922e-09,7.744742290615019e-09,-3.049299366e-08,-1.029778437e-10,0.0
autocorrelations,ch,bus,subject1,t1,7.0,2.881817090330408e-09,3.182948879e-09,4.7247242368619126e-09,-8.603232168e-09,1.065292795e-08,0.0
autocorrelations,ch,bus,subject1,t1,8.0,1.5615445950918366e-08,1.450562772e-08,4.7625690904648154e-09,6.890490353e-09,2.477835918e-08,0.0
autocorrelations,ch,bus,subject1,t1,9.0,1.0432950142348981e-08,1.191647388e-08,6.910736725559531e-09,-4.820788327e-09,2.228680515e-08,0.0
autocorrelations,ch,bus,subject1,t1,10.0,1.449738467163265e-09,9.731677133e-10,3.2471325833577677e-09,-5.135774695e-09,8.415248667e-09,0.0
autocorrelations,ch,bus,subject1,t1,11.0,-4.653378393020408e-10,-5.134380489e-10,3.74311424638473e-09,-7.219388836e-09,7.252587996e-09,0.0
autocorrelations,ch,bus,subject1,t1,12.0,-1.2828660250020409e-08,-1.275903125e-08,4.787024590518569e-09,-2.434651764e-08,-3.442766521e-09,0.0
autocorrelations,ch,bus,subject1,t1,13.0,-1.781390166630612e-08,-1.705272191e-08,6.775367047021349e-09,-3.138149263e-08,-6.728716565e-09,0.0
autocorrelations,ch,bus,subject1,t1,14.0,-1.1448744193287757e-08,-1.250629976e-08,5.5713873471508e-09,-1.93871964e-08,5.47002073e-09,0.0
autocorrelations,ch,bus,subject1,t1,15.0,1.8705282275183675e-09,2.354798202e-09,4.787794300753686e-09,-8.591535829e-09,1.055674524e-08,0.0
autocorrelations,ch,bus,subject1,t1,16.0,2.0817091011571426e-08,2.148221423e-08,5.5096246681838755e-09,8.267578457e-09,2.944841518e-08,0.0
autocorrelations,ch,bus,subject1,t1,17.0,2.6141957370000002e-08,2.594206117e-08,5.24572993978235e-09,1.514418623e-08,3.864766997e-08,0.0
autocorrelations,ch,bus,subject1,t1,18.0,2.008877850667347e-08,1.899337185e-08,7.762611647119002e-09,6.978277172e-09,3.549410359e-08,0.0
autocorrelations,ch,bus,subject1,t1,19.0,8.49667579407551e-09,9.321110211e-09,5.677801836738782e-09,-3.83758765e-09,2.24708921e-08,0.0
autocorrelations,ch,bus,subject1,t1,20.0,-7.63983047573793e-09,-7.398907527e-09,4.263647386448191e-09,-1.52836211e-08,-1.829857194e-10,0.0
