time_5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median,pitch_std,pitch_missing
0,ch,bus,subject2,t3,pitch,178.59375,0.0,38.86916678292411,0.0,63.174908163296905,15.789473684210526
5,ch,bus,subject2,t3,pitch,147.64322916666669,0.0,83.10109312108204,93.31510416666666,42.28761306888974,24.0
10,ch,bus,subject2,t3,pitch,2673.75,0.0,191.94736139898671,71.73289465525794,510.8187329379205,24.324324324324326
15,ch,bus,subject2,t3,pitch,2158.4375,0.0,112.02049563717533,85.48385416666667,287.0052318924506,26.666666666666668
20,ch,bus,subject2,t3,pitch,281.59375,0.0,77.30765258596433,96.935546875,64.40897345273105,24.0
25,ch,bus,subject2,t3,pitch,2309.84375,0.0,212.25076162068245,95.80859375,460.3605801874806,34.66666666666667
30,ch,bus,subject2,t3,pitch,466.953125,0.0,106.81716672261362,90.85100446428572,124.69934893556915,24.0
35,ch,bus,subject2,t3,pitch,368.28125,0.0,93.72496979413393,97.7267113095238,85.56846288958378,24.0
40,ch,bus,subject2,t3,pitch,440.4296875,0.0,100.1542255523067,105.46875,90.8782383783471,24.0
45,ch,bus,subject2,t3,pitch,455.3776041666666,0.0,105.10850826801028,99.81005859375,114.31730933864485,22.666666666666664
50,ch,bus,subject2,t3,pitch,585.3980654761905,0.0,92.02769134004235,105.78125,90.03382133585963,21.333333333333336
55,ch,bus,subject2,t3,pitch,710.1197916666667,0.0,89.11020107370206,93.17908296130952,121.18124860102932,28.000000000000004
60,ch,bus,subject2,t3,pitch,3240.46875,0.0,143.2761762118998,108.71005172902494,414.4080024295855,21.333333333333336
65,ch,bus,subject2,t3,pitch,484.1666666666666,0.0,105.25978778737411,112.84006076388889,82.16221541718824,17.333333333333336
70,ch,bus,subject2,t3,pitch,894.7786458333333,0.0,120.04377705376065,118.88671875,166.33984544989593,25.333333333333336
75,ch,bus,subject2,t3,pitch,188.232421875,0.0,78.91320882348194,97.80159505208331,55.09539679845415,18.666666666666668
80,ch,bus,subject2,t3,pitch,833.28125,0.0,121.55501557194,96.43359375,164.0858626561441,29.333333333333332
85,ch,bus,subject2,t3,pitch,507.421875,0.0,102.281573462943,98.8033347800926,118.69634938296028,22.666666666666664
90,ch,bus,subject2,t3,pitch,611.484375,0.0,132.49212846430683,102.109375,149.83902216530544,37.333333333333336
95,ch,bus,subject2,t3,pitch,805.234375,0.0,111.26979051169077,90.7421875,154.0062969142906,32.0
100,ch,bus,subject2,t3,pitch,2821.40625,0.0,155.71060130732982,101.29557291666667,394.3212830395489,30.666666666666664
105,ch,bus,subject2,t3,pitch,180.46875,0.0,96.67565540900965,106.09375,62.33003173477239,20.0
110,ch,bus,subject2,t3,pitch,221.6015625,0.0,87.73279344652593,107.8515625,63.673833561254526,22.666666666666664
115,ch,bus,subject2,t3,pitch,848.125,0.0,123.65776297099282,101.68131510416669,158.84687482183634,24.0
120,ch,bus,subject2,t3,pitch,3869.6875,0.0,161.8310524156947,102.57421875,504.2616203147126,24.0
125,ch,bus,subject2,t3,pitch,552.5178571428571,0.0,100.24064110129574,105.08138020833333,113.91337753481979,22.666666666666664
130,ch,bus,subject2,t3,pitch,2226.25,0.0,102.60384464014211,91.4306640625,282.9621297949618,18.666666666666668
135,ch,bus,subject2,t3,pitch,432.734375,0.0,102.93011891557356,106.67903645833331,80.94348724256149,28.000000000000004
