time_1.5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median
0.0,ch,bus,jack,t3,pitch,163.67447916666669,0.0,21.048832553854876,0.0
1.5,ch,bus,jack,t3,pitch,175.69010416666669,0.0,126.55961612654322,128.61328125
3.0,ch,bus,jack,t3,pitch,177.7197265625,0.0,77.17936862244898,110.59895833333331
4.5,ch,bus,jack,t3,pitch,461.328125,107.60050455729169,218.83892686631944,119.228515625
6.0,ch,bus,jack,t3,pitch,223.80859375,0.0,110.2401467667145,115.71614583333334
7.5,ch,bus,jack,t3,pitch,589.6298363095239,0.0,161.2071736653646,110.28645833333331
9.0,ch,bus,jack,t3,pitch,447.9380580357143,0.0,83.64692752100841,0.0
10.5,ch,bus,jack,t3,pitch,305.625,0.0,129.60670107886904,144.765625
12.0,ch,bus,jack,t3,pitch,410.5357142857143,0.0,209.76691545758928,252.3046875
13.5,ch,bus,jack,t3,pitch,128.474609375,0.0,33.55636935763889,0.0
15.0,ch,bus,jack,t3,pitch,381.71875,104.16666666666669,195.42284432870372,166.42252604166669
16.5,ch,bus,jack,t3,pitch,372.265625,0.0,92.21968522652116,102.57486979166666
18.0,ch,bus,jack,t3,pitch,286.25,0.0,89.96461205096074,111.65426587301587
19.5,ch,bus,jack,t3,pitch,164.8828125,0.0,78.54105665703781,116.34114583333334
21.0,ch,bus,jack,t3,pitch,365.859375,0.0,134.9529485622374,107.70841813287817
22.5,ch,bus,jack,t3,pitch,297.578125,0.0,92.36330495739963,106.73177083333334
24.0,ch,bus,jack,t3,pitch,128.642578125,0.0,50.175552461319064,37.4609375
25.5,ch,bus,jack,t3,pitch,232.87109375,0.0,76.32578144942796,103.50368923611111
27.0,ch,bus,jack,t3,pitch,298.4375,0.0,109.11325080162274,110.73567708333331
28.5,ch,bus,jack,t3,pitch,363.28125,0.0,19.120065789473685,0.0
30.0,ch,bus,jack,t3,pitch,702.1875,0.0,191.6911343864469,61.62667410714286
31.5,ch,bus,jack,t3,pitch,160.92447916666669,119.3408203125,132.44092571924602,130.48177083333331
33.0,ch,bus,jack,t3,pitch,160.3984375,0.0,96.01998191854867,111.57167271205358
34.5,ch,bus,jack,t3,pitch,137.1674107142857,0.0,96.8227523561508,120.1171875
36.0,ch,bus,jack,t3,pitch,109.267578125,0.0,62.05669073318431,102.31166294642856
37.5,ch,bus,jack,t3,pitch,307.265625,0.0,94.3625888723545,105.38736979166666
39.0,ch,bus,jack,t3,pitch,478.59375,0.0,178.65013485863096,115.15625
40.5,ch,bus,jack,t3,pitch,303.671875,0.0,72.84655912422839,59.36957465277777
42.0,ch,bus,jack,t3,pitch,226.09375,0.0,133.8500885730895,130.765625
43.5,ch,bus,jack,t3,pitch,492.1875,58.88169642857143,207.236469262656,120.41092658190993
45.0,ch,bus,jack,t3,pitch,390.78125,0.0,116.34268777412281,0.0
46.5,ch,bus,jack,t3,pitch,155.10546875,0.0,94.96513342478919,112.51302083333333
48.0,ch,bus,jack,t3,pitch,455.234375,0.0,143.10059562562003,107.83203125
49.5,ch,bus,jack,t3,pitch,328.125,0.0,62.6538387345679,0.0
51.0,ch,bus,jack,t3,pitch,288.671875,0.0,132.78658854166667,112.9609375
52.5,ch,bus,jack,t3,pitch,370.234375,0.0,79.59216889880952,0.0
54.0,ch,bus,jack,t3,pitch,180.4296875,0.0,113.94830322265625,147.20893012152777
55.5,ch,bus,jack,t3,pitch,293.984375,0.0,93.71326264880953,105.79752604166667
57.0,ch,bus,jack,t3,pitch,540.890625,0.0,145.18884634150123,120.57725694444446
58.5,ch,bus,jack,t3,pitch,447.265625,0.0,159.03990416412293,125.75520833333334
60.0,ch,bus,jack,t3,pitch,233.5286458333333,0.0,71.32488787615742,0.0
61.5,ch,bus,jack,t3,pitch,171.10026041666669,0.0,80.94607399730725,110.71015625
63.0,ch,bus,jack,t3,pitch,1465.15625,0.0,223.59980350647206,110.31874468537416
64.5,ch,bus,jack,t3,pitch,126.69053819444444,0.0,31.16357560568087,0.0
66.0,ch,bus,jack,t3,pitch,382.109375,0.0,147.77835988562092,113.44563802083331
67.5,ch,bus,jack,t3,pitch,444.296875,0.0,112.78396315801712,0.0
69.0,ch,bus,jack,t3,pitch,773.875,0.0,189.70231119791666,121.44694010416667
70.5,ch,bus,jack,t3,pitch,469.296875,0.0,156.30821951176304,125.04720052083333
72.0,ch,bus,jack,t3,pitch,106.53397164786966,0.0,16.458202455151035,0.0
73.5,ch,bus,jack,t3,pitch,493.203125,0.0,174.870849609375,42.55078125
75.0,ch,bus,jack,t3,pitch,589.1759672619048,0.0,176.9034982638889,126.68024553571428
