sensor,language,tone,participant,script,time_5,autocorrelation_mean,autocorrelation_median,autocorrelation_std,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,ch,casual,subject1,t1,15.0,-3.354242355373028e-09,1.054520451e-09,5.1246024915346176e-08,-9.856500917e-08,8.1186779e-08,0.0
autocorrelations,ch,casual,subject1,t1,20.0,1.266782954055612e-08,2.067512948e-08,6.373287567546788e-08,-1.076238204e-07,9.452843787e-08,0.0
autocorrelations,ch,casual,subject1,t2,5.0,4.771094854240663e-08,7.815552029e-08,1.4354033732502626e-06,-2.045723912e-06,2.537497009e-06,0.0
autocorrelations,ch,casual,subject1,t2,10.0,5.578117760568464e-08,8.034894217e-08,1.2762169380036177e-06,-1.909658966e-06,1.918451028e-06,0.0
autocorrelations,ch,casual,subject1,t2,15.0,5.516662467746862e-09,8.930743651e-08,1.108545065238819e-06,-1.692096955e-06,1.651338001e-06,0.0
autocorrelations,ch,casual,subject1,t2,20.0,5.5126697146075954e-08,6.366082794e-08,1.0997264188161795e-06,-1.633843098e-06,1.648307705e-06,0.0
autocorrelations,ch,casual,subject1,t3,5.0,-9.036688708603318e-06,-1.255414075e-05,4.851205779939297e-05,-6.916515903e-05,7.883520603e-05,0.0
autocorrelations,ch,casual,subject1,t3,10.0,2.515101381671992e-05,4.535596097e-05,3.6663977853877696e-05,-4.537681775e-05,6.017452743e-05,0.0
autocorrelations,ch,casual,subject1,t3,15.0,-3.083540211293992e-05,-2.983552637e-05,2.4164039449329228e-05,-6.928792662e-05,1.459059962e-05,0.0
autocorrelations,ch,casual,subject1,t3,20.0,2.534936358212489e-05,3.335170046e-05,3.410621533438734e-05,-5.425666734e-05,6.725214727e-05,0.0
autocorrelations,ch,casual,subject1,t4,5.0,-5.876605840672203e-09,-9.254671905e-09,2.187253672377121e-07,-3.325826572e-07,3.985546452e-07,0.0
autocorrelations,ch,casual,subject1,t4,10.0,-2.7637354738257282e-09,-4.948885073e-09,2.0187149129959362e-07,-2.901244974e-07,2.951432911e-07,0.0
autocorrelations,ch,casual,subject1,t4,15.0,-3.2572542674510387e-09,-3.867075713e-09,2.020997015512794e-07,-2.889075315e-07,2.926717393e-07,0.0
autocorrelations,ch,casual,subject1,t4,20.0,-1.3408701186451477e-08,-2.095725828e-08,2.072802572179155e-07,-2.993744908e-07,3.020408555e-07,0.0
autocorrelations,ch,casual,subject2,t1,5.0,2.0720132606099553e-09,2.20393236e-09,2.2656726425286885e-07,-3.282718638e-07,4.241287631e-07,0.0
autocorrelations,ch,casual,subject2,t1,10.0,8.779182611074692e-09,1.690996964e-08,2.0027145634600586e-07,-2.889817028e-07,2.896861684e-07,0.0
autocorrelations,ch,casual,subject2,t1,15.0,5.691452959356811e-10,3.193075e-09,1.8386766984655824e-07,-2.649709851e-07,2.544250312e-07,0.0
autocorrelations,ch,casual,subject2,t1,20.0,-2.2682175110970559e-10,1.364639901e-09,1.7176952304349713e-07,-2.532658946e-07,2.513037119e-07,0.0
autocorrelations,ch,casual,subject2,t2,5.0,1.0749872471157677e-07,1.346349751e-07,1.1649590248655742e-06,-1.727060776e-06,2.241341087e-06,0.0
autocorrelations,ch,casual,subject2,t2,10.0,1.2958478348410788e-08,1.237410728e-07,9.540542597807186e-07,-1.684395459e-06,1.327583681e-06,0.0
autocorrelations,ch,casual,subject2,t2,15.0,-2.0249024293568463e-08,-4.67990703e-08,8.793263953734714e-07,-1.478526617e-06,1.300964703e-06,0.0
autocorrelations,ch,casual,subject2,t2,20.0,-6.596781102070887e-08,-9.115411786e-08,9.160209086074e-07,-1.478584924e-06,1.353131162e-06,0.0
autocorrelations,ch,casual,subject2,t3,5.0,-2.1812625300248997e-09,-7.512721042e-09,1.732181091604302e-07,-3.142836345e-07,4.07549281e-07,0.0
autocorrelations,ch,casual,subject2,t3,10.0,-1.3168008254398331e-09,2.495722512e-09,1.5333950084443968e-07,-2.551682303e-07,2.492888003e-07,0.0
autocorrelations,ch,casual,subject2,t3,15.0,-4.245541696315353e-09,-1.082321938e-08,1.40658951431524e-07,-2.239982361e-07,2.415229155e-07,0.0
autocorrelations,ch,casual,subject2,t3,20.0,1.834151883274684e-08,2.199410839e-08,1.2492925793278926e-07,-2.097495879e-07,2.287328243e-07,0.0
autocorrelations,ch,casual,subject2,t4,5.0,3.960390196539422e-09,5.461361721e-09,3.6107611828976e-07,-6.387922615e-07,7.355818525e-07,0.0
autocorrelations,ch,casual,subject2,t4,10.0,-7.264895561975105e-09,1.895474321e-09,3.5757563189311454e-07,-6.442859335e-07,6.20176039e-07,0.0
autocorrelations,ch,casual,subject2,t4,15.0,8.865287239875496e-10,5.13308761e-09,3.5975998389524e-07,-6.238969698e-07,6.277049755e-07,0.0
autocorrelations,ch,casual,subject2,t4,20.0,-1.7970919393249054e-10,3.887537492e-09,3.587774099188851e-07,-6.243145534e-07,6.439265088e-07,0.0
autocorrelations,en,bus,subject1,t1,5.0,8.795102722165018e-09,-2.788395708e-09,2.367593608389881e-08,-1.240496466e-08,7.323843117e-08,0.0
autocorrelations,en,bus,subject1,t1,10.0,-1.2200779432012448e-08,-1.324203645e-08,2.315945662423055e-09,-1.567342176e-08,-7.319721152e-09,0.0
autocorrelations,en,bus,subject1,t1,15.0,2.091039326284481e-09,3.452194041e-09,8.930075360185422e-09,-9.277047363e-09,1.404077088e-08,0.0
autocorrelations,en,bus,subject1,t1,20.0,9.592705545884813e-09,1.027091091e-08,4.995869995697575e-09,-4.445907505e-09,1.694095235e-08,0.0
autocorrelations,en,bus,subject1,t2,5.0,4.308883502781867e-08,-3.744956081e-08,1.4675857913893326e-07,-7.865477088e-08,4.065659596e-07,0.0
autocorrelations,en,bus,subject1,t2,10.0,-7.90588717079166e-08,-8.738666468e-08,4.2508066087001984e-08,-1.310770835e-07,2.651994401e-08,0.0
autocorrelations,en,bus,subject1,t2,15.0,2.192429855171079e-08,2.139084267e-08,2.2099426765329448e-08,-9.82208814e-09,5.999060239e-08,0.0
autocorrelations,en,bus,subject1,t2,20.0,4.606854609760548e-08,6.922976168e-08,3.9037211391298323e-08,-2.500624076e-08,8.143427439e-08,0.0
autocorrelations,en,bus,subject1,t3,5.0,-6.025287634880414e-09,-2.056173184e-08,3.914032211460187e-08,-4.628510874e-08,8.610310033e-08,0.0
autocorrelations,en,bus,subject1,t3,10.0,1.3540936506270957e-08,2.17085786e-08,1.99646073436777e-08,-3.68911192e-08,3.140158446e-08,0.0
autocorrelations,en,bus,subject1,t3,15.0,-1.467928080563195e-08,-1.53204636e-08,1.4534307826263592e-08,-3.602396403e-08,1.276761721e-08,0.0
autocorrelations,en,bus,subject1,t3,20.0,1.3337441281445276e-08,1.624144686e-08,1.1384577049092804e-08,-1.142167024e-08,2.659026218e-08,0.0
autocorrelations,en,bus,subject1,t4,5.0,4.793428935453114e-09,-2.732750201e-09,2.9500935306866087e-08,-2.850182145e-08,1.052540028e-07,0.0
autocorrelations,en,bus,subject1,t4,10.0,-8.711356294979416e-09,-3.637473809e-09,1.4622165155647432e-08,-3.576456831e-08,1.50776019e-08,0.0
autocorrelations,en,bus,subject1,t4,15.0,5.8912234071009135e-09,5.717544317e-09,1.3602068688032548e-08,-2.026485289e-08,3.058676972e-08,0.0
autocorrelations,en,bus,subject1,t4,20.0,-3.746292740376794e-09,-6.23354798e-09,1.284111680275408e-08,-2.103694757e-08,1.966494527e-08,0.0
autocorrelations,en,bus,subject2,t1,5.0,1.9547799518042326e-08,1.577901953e-08,1.6463178485668843e-08,-5.982990061e-09,1.782814823e-07,0.0
autocorrelations,en,bus,subject2,t1,10.0,1.34756159608668e-09,1.683768884e-09,5.633668908891205e-09,-1.744242231e-08,1.998174631e-08,0.0
autocorrelations,en,bus,subject2,t1,15.0,-7.410244610345394e-09,-7.581004864e-09,5.426085971923748e-09,-1.946299733e-08,5.661834023e-09,0.0
autocorrelations,en,bus,subject2,t1,20.0,-1.0269158334556962e-08,-1.006762537e-08,3.1429873371636823e-09,-1.866201252e-08,-1.813136515e-09,0.0
autocorrelations,en,bus,subject2,t2,5.0,8.605571521508714e-08,8.181628125e-08,7.060488973734707e-08,-2.455006687e-08,2.009192858e-07,0.0
autocorrelations,en,bus,subject2,t2,10.0,-6.679192394439833e-08,-7.079759036e-08,1.551905128954484e-08,-8.293943649e-08,-2.515652449e-08,0.0
autocorrelations,en,bus,subject2,t2,15.0,2.237462287728964e-08,2.027854796e-08,5.109541852855343e-08,-5.628676628e-08,9.719261909e-08,0.0
autocorrelations,en,bus,subject2,t2,20.0,2.9088973774328696e-08,4.059843251e-08,5.6689773828751935e-08,-8.186643431e-08,9.747692023e-08,0.0
autocorrelations,en,bus,subject2,t3,5.0,1.800577325847693e-08,5.097854846e-09,6.997973624057946e-08,-6.427442224e-08,1.382783191e-07,0.0
autocorrelations,en,bus,subject2,t3,10.0,2.468517769294316e-08,4.199592501e-08,4.1341165097118266e-08,-5.733940529e-08,6.829720843e-08,0.0
autocorrelations,en,bus,subject2,t3,15.0,-3.854908579161066e-08,-4.643708616e-08,3.1369372643837175e-08,-7.384529339e-08,3.638997393e-08,0.0
autocorrelations,en,bus,subject2,t3,20.0,3.918416855376878e-08,4.500632512e-08,2.738831163810242e-08,-2.138570095e-08,7.141864443e-08,0.0
autocorrelations,en,bus,subject2,t4,5.0,1.675189129406639e-07,1.804336392e-07,3.595369860716998e-08,1.198901468e-07,2.421388388e-07,0.0
autocorrelations,en,bus,subject2,t4,10.0,4.59827168852361e-08,5.897759057e-08,3.4976303209984645e-08,-2.683434362e-09,1.20149388e-07,0.0
autocorrelations,en,bus,subject2,t4,15.0,-4.798743122157677e-08,-4.447756833e-08,1.8918605942984365e-08,-8.078026032e-08,-3.707989091e-09,0.0
autocorrelations,en,bus,subject2,t4,20.0,-1.1032474069227849e-07,-1.105012145e-07,1.45367928951457e-08,-1.368151475e-07,-8.187445068e-08,0.0
autocorrelations,en,casual,subject1,t1,5.0,-1.0858854424825307e-06,-1.967250819e-06,7.117824628527319e-06,-1.101491371e-05,1.641627188e-05,0.0
autocorrelations,en,casual,subject1,t1,10.0,2.7306222294921175e-07,5.692127555e-07,4.524794104212601e-06,-7.281642398e-06,7.327917446e-06,0.0
autocorrelations,en,casual,subject1,t1,15.0,8.010690529320177e-07,7.333924319e-07,3.230118331046795e-06,-4.734731384e-06,6.699778317e-06,0.0
autocorrelations,en,casual,subject1,t1,20.0,4.69557521504747e-07,5.751659962e-07,1.8877216896039395e-06,-4.218597209e-06,3.821209714e-06,0.0
autocorrelations,en,casual,subject1,t2,5.0,1.7842291529170018e-10,-4.611586604e-09,1.9134615358182177e-07,-3.922393346e-07,5.201357029e-07,0.0
autocorrelations,en,casual,subject1,t2,10.0,1.367631427458506e-09,2.542911898e-09,1.4577308148382352e-07,-2.472150937e-07,2.572632995e-07,0.0
autocorrelations,en,casual,subject1,t2,15.0,8.021431518911203e-09,8.804249642e-09,1.5419527064416857e-07,-2.935668353e-07,3.144351972e-07,0.0
autocorrelations,en,casual,subject1,t2,20.0,-4.5136386149535855e-09,-7.589807223e-09,1.6211201389790089e-07,-3.408592141e-07,3.238003823e-07,0.0
autocorrelations,en,casual,subject1,t3,5.0,-1.9059543378049813e-08,-9.356477202e-08,6.265789390905956e-07,-8.787823283e-07,1.292849774e-06,0.0
autocorrelations,en,casual,subject1,t3,10.0,2.646683049211601e-10,5.627959582e-08,2.882006506689746e-07,-5.725730416e-07,4.857099434e-07,0.0
autocorrelations,en,casual,subject1,t3,15.0,9.27896036239585e-08,2.358904569e-08,3.539957707450556e-07,-5.133722274e-07,7.825307002e-07,0.0
autocorrelations,en,casual,subject1,t3,20.0,-1.2190546665253166e-07,-1.582530492e-07,5.866196294061779e-07,-9.186562173e-07,8.160702886e-07,0.0
autocorrelations,en,casual,subject1,t4,5.0,-1.7138975430219923e-08,-4.492487316e-08,3.821038942505946e-07,-5.407418186e-07,8.632512375e-07,0.0
autocorrelations,en,casual,subject1,t4,10.0,1.1679738858365148e-08,2.377758142e-09,3.2507754899916975e-07,-4.601815659e-07,5.615648332e-07,0.0
autocorrelations,en,casual,subject1,t4,15.0,-1.5667088684124486e-08,-2.052265782e-08,2.829202062107011e-07,-4.242368071e-07,4.651129534e-07,0.0
autocorrelations,en,casual,subject1,t4,20.0,7.275687331776364e-09,-2.763141406e-08,3.7380194014264243e-07,-5.011376943e-07,6.209159475e-07,0.0
