sensor,language,tone,participant,script,time_5.0,autocorrelation_mean,autocorrelation_median,autocorrelation_std,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,ch,bus,jack,t1,5.0,-1.7170307677684672e-09,-1.629455845e-08,4.108952646585956e-08,-4.740881174e-08,2.12729016e-07,0.0
autocorrelations,ch,bus,jack,t1,10.0,3.6730013852161418e-09,4.100288099e-09,1.1014291164895847e-08,-3.049299366e-08,2.477835918e-08,0.0
autocorrelations,ch,bus,jack,t1,15.0,-8.521951322120331e-09,-9.144013925e-09,8.86466298024173e-09,-3.138149263e-08,7.344032808e-09,0.0
autocorrelations,ch,bus,jack,t1,20.0,1.502972460989578e-08,1.640634317e-08,1.2101730377366391e-08,-1.52836211e-08,3.864766997e-08,0.0
autocorrelations,ch,bus,jack,t2,5.0,1.2974150380585486e-08,-1.987784151e-08,1.4626063526475319e-07,-1.719449237e-07,3.181630746e-07,0.0
autocorrelations,ch,bus,jack,t2,10.0,9.996929209776353e-10,1.211533478e-08,6.238367617578785e-08,-1.489108566e-07,9.858420708e-08,0.0
autocorrelations,ch,bus,jack,t2,15.0,-5.576713036576183e-08,-7.016216573e-08,5.945350209558156e-08,-1.410554309e-07,9.692467422e-08,0.0
autocorrelations,ch,bus,jack,t2,20.0,7.96650259116443e-08,9.677641963e-08,5.6915998784543374e-08,-5.2880956e-08,1.606705378e-07,0.0
autocorrelations,ch,bus,jack,t3,5.0,1.0314360457840872e-08,-6.17167833e-10,2.539599809083383e-08,-1.604713728e-08,7.888748466e-08,0.0
autocorrelations,ch,bus,jack,t3,10.0,-1.5548735083108508e-08,-1.958261207e-08,9.45580652137586e-09,-2.685410697e-08,3.635926398e-09,0.0
autocorrelations,ch,bus,jack,t3,15.0,5.206413446156017e-09,4.467987761e-09,5.276275997069197e-09,-6.240079358e-10,2.052358161e-08,0.0
autocorrelations,ch,bus,jack,t3,20.0,4.263252297541309e-09,2.643648167e-09,1.129208588083241e-08,-1.765196948e-08,2.234096843e-08,0.0
autocorrelations,ch,bus,jack,t4,5.0,-1.3607206382846473e-08,-7.407357211e-08,1.57271895769771e-07,-1.985852575e-07,4.025531234e-07,0.0
autocorrelations,ch,bus,jack,t4,10.0,1.947038737485996e-08,1.948549801e-08,4.278564991839818e-08,-7.507171165e-08,1.090514627e-07,0.0
autocorrelations,ch,bus,jack,t4,15.0,-3.351957421173154e-08,-3.624214149e-08,4.280077360227574e-08,-1.218761976e-07,8.708950067e-08,0.0
autocorrelations,ch,bus,jack,t4,20.0,3.487360835279325e-08,6.502801376e-08,9.142671327022439e-08,-1.846782388e-07,1.568270502e-07,0.0
autocorrelations,ch,bus,yaoyi,t1,5.0,8.82198457160581e-08,8.258635581e-08,5.1569523948881765e-08,1.027482178e-08,2.042780537e-07,0.0
autocorrelations,ch,bus,yaoyi,t1,10.0,-1.697567997593299e-08,-1.655042676e-08,9.9790206967742e-09,-3.53870364e-08,8.792029254e-09,0.0
autocorrelations,ch,bus,yaoyi,t1,15.0,-4.4036220156846476e-08,-4.256713399e-08,5.637938351690864e-09,-5.429132016e-08,-3.227680764e-08,0.0
autocorrelations,ch,bus,yaoyi,t1,20.0,-1.4563967942751055e-08,-1.524100113e-08,5.704558527709771e-09,-3.113084463e-08,-5.862792579e-09,0.0
autocorrelations,ch,bus,yaoyi,t2,5.0,8.396674261224066e-08,6.382613498e-08,4.880540339406961e-08,2.626107888e-08,1.855732694e-07,0.0
autocorrelations,ch,bus,yaoyi,t2,10.0,2.7850923033938173e-08,3.937433545e-08,2.73092786244208e-08,-3.50146778e-08,6.040899715e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,15.0,-1.9453177269384435e-08,-1.767895663e-08,1.6349904195208848e-08,-4.368498686e-08,1.11096328e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,20.0,-5.9420224992616024e-08,-6.794592953e-08,2.2690149692904124e-08,-8.845938981e-08,-1.167320417e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,5.0,5.9159742933360996e-08,5.384981403e-08,3.529916447726145e-08,1.288266045e-08,1.413964097e-07,0.0
autocorrelations,ch,bus,yaoyi,t3,10.0,1.8098151798531827e-08,1.777899963e-08,8.333037659914167e-09,-7.276036302e-10,3.302783863e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,15.0,-1.941017031189336e-08,-1.949319576e-08,1.814252608181136e-08,-5.234262968e-08,2.522552606e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,20.0,-3.361646828379747e-08,-3.199219095e-08,1.3020134518978944e-08,-6.171397341e-08,-1.046712758e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,5.0,3.1896245541970536e-08,2.766008476e-08,1.958692645738695e-08,3.94022105e-10,7.781633281e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,10.0,-1.4581253555483278e-08,-1.617412187e-08,8.709922737551953e-09,-2.86211195e-08,8.072213677e-09,0.0
autocorrelations,ch,bus,yaoyi,t4,15.0,-2.6915555796224064e-08,-2.682924229e-08,5.620774792813052e-09,-3.873587189e-08,-1.580643573e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,20.0,-1.0504594062271434e-08,-1.272482782e-08,1.0893735662237215e-08,-2.676741639e-08,1.044848623e-08,0.0
autocorrelations,ch,casual,jack,t1,5.0,3.1856013093219924e-09,-1.301470382e-08,9.630734364424665e-08,-1.191319653e-07,2.757851811e-07,0.0
autocorrelations,ch,casual,jack,t1,10.0,-8.883816907059336e-09,-8.39094913e-09,5.739119916951439e-08,-1.082818957e-07,8.721964268e-08,0.0
autocorrelations,ch,casual,jack,t1,15.0,-3.354242355373028e-09,1.054520451e-09,5.1246024915346176e-08,-9.856500917e-08,8.1186779e-08,0.0
autocorrelations,ch,casual,jack,t1,20.0,1.266782954055612e-08,2.067512948e-08,6.373287567546786e-08,-1.076238204e-07,9.452843787e-08,0.0
autocorrelations,ch,casual,jack,t2,5.0,4.771094854240663e-08,7.815552029e-08,1.4354033732502626e-06,-2.045723912e-06,2.537497009e-06,0.0
autocorrelations,ch,casual,jack,t2,10.0,5.578117760568463e-08,8.034894217e-08,1.2762169380036175e-06,-1.909658966e-06,1.918451028e-06,0.0
autocorrelations,ch,casual,jack,t2,15.0,5.516662467746862e-09,8.930743651e-08,1.108545065238819e-06,-1.692096955e-06,1.651338001e-06,0.0
autocorrelations,ch,casual,jack,t2,20.0,5.5126697146075954e-08,6.366082794e-08,1.0997264188161795e-06,-1.633843098e-06,1.648307705e-06,0.0
autocorrelations,ch,casual,jack,t3,5.0,-9.036688708603318e-06,-1.255414075e-05,4.851205779939297e-05,-6.916515903e-05,7.883520603e-05,0.0
autocorrelations,ch,casual,jack,t3,10.0,2.515101381671992e-05,4.535596097e-05,3.6663977853877696e-05,-4.537681775e-05,6.017452743e-05,0.0
autocorrelations,ch,casual,jack,t3,15.0,-3.0835402112939916e-05,-2.983552637e-05,2.4164039449329228e-05,-6.928792662e-05,1.459059962e-05,0.0
autocorrelations,ch,casual,jack,t3,20.0,2.534936358212489e-05,3.335170046e-05,3.410621533438734e-05,-5.425666734e-05,6.725214727e-05,0.0
autocorrelations,ch,casual,jack,t4,5.0,-5.876605840672203e-09,-9.254671905e-09,2.1872536723771204e-07,-3.325826572e-07,3.985546452e-07,0.0
autocorrelations,ch,casual,jack,t4,10.0,-2.7637354738257282e-09,-4.948885073e-09,2.0187149129959354e-07,-2.901244974e-07,2.951432911e-07,0.0
autocorrelations,ch,casual,jack,t4,15.0,-3.2572542674510387e-09,-3.867075713e-09,2.020997015512794e-07,-2.889075315e-07,2.926717393e-07,0.0
autocorrelations,ch,casual,jack,t4,20.0,-1.3408701186451475e-08,-2.095725828e-08,2.0728025721791547e-07,-2.993744908e-07,3.020408555e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,5.0,2.0720132606099553e-09,2.20393236e-09,2.2656726425286885e-07,-3.282718638e-07,4.241287631e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,10.0,8.779182611074692e-09,1.690996964e-08,2.0027145634600583e-07,-2.889817028e-07,2.896861684e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,15.0,5.691452959356813e-10,3.193075e-09,1.8386766984655822e-07,-2.649709851e-07,2.544250312e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,20.0,-2.2682175110970556e-10,1.364639901e-09,1.7176952304349713e-07,-2.532658946e-07,2.513037119e-07,0.0
autocorrelations,ch,casual,yaoyi,t2,5.0,1.0749872471157677e-07,1.346349751e-07,1.1649590248655742e-06,-1.727060776e-06,2.241341087e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,10.0,1.2958478348410788e-08,1.237410728e-07,9.540542597807186e-07,-1.684395459e-06,1.327583681e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,15.0,-2.024902429356846e-08,-4.67990703e-08,8.793263953734714e-07,-1.478526617e-06,1.300964703e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,20.0,-6.596781102070886e-08,-9.115411786e-08,9.160209086074e-07,-1.478584924e-06,1.353131162e-06,0.0
autocorrelations,ch,casual,yaoyi,t3,5.0,-2.1812625300248997e-09,-7.512721042e-09,1.732181091604302e-07,-3.142836345e-07,4.07549281e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,10.0,-1.316800825439833e-09,2.495722512e-09,1.5333950084443963e-07,-2.551682303e-07,2.492888003e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,15.0,-4.245541696315353e-09,-1.082321938e-08,1.40658951431524e-07,-2.239982361e-07,2.415229155e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,20.0,1.8341518832746838e-08,2.199410839e-08,1.2492925793278926e-07,-2.097495879e-07,2.287328243e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,5.0,3.960390196539422e-09,5.461361721e-09,3.6107611828976e-07,-6.387922615e-07,7.355818525e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,10.0,-7.264895561975105e-09,1.895474321e-09,3.5757563189311454e-07,-6.442859335e-07,6.20176039e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,15.0,8.865287239875498e-10,5.13308761e-09,3.5975998389523995e-07,-6.238969698e-07,6.277049755e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,20.0,-1.7970919393249054e-10,3.887537492e-09,3.5877740991888507e-07,-6.243145534e-07,6.439265088e-07,0.0
autocorrelations,en,bus,duru,t1,5.0,8.555938535266393e-09,-2.544779235e-08,6.776684277335515e-08,-5.512588368e-08,1.711039416e-07,0.0
autocorrelations,en,bus,duru,t1,10.0,-2.1340290364414117e-09,1.298501587e-08,3.179098370607775e-08,-5.540765096e-08,2.967628354e-08,0.0
autocorrelations,en,bus,duru,t1,15.0,-1.2688895425356598e-08,-1.384470199e-08,1.1103253965111236e-08,-2.637329149e-08,1.635702673e-08,0.0
autocorrelations,en,bus,duru,t1,20.0,9.38319793306751e-09,9.075820713e-09,4.314686219952238e-09,1.145422505e-09,1.626900465e-08,0.0
autocorrelations,en,bus,jack,t1,5.0,8.795102722165018e-09,-2.788395708e-09,2.3675936083898814e-08,-1.240496466e-08,7.323843117e-08,0.0
autocorrelations,en,bus,jack,t1,10.0,-1.2200779432012448e-08,-1.324203645e-08,2.315945662423055e-09,-1.567342176e-08,-7.319721152e-09,0.0
autocorrelations,en,bus,jack,t1,15.0,2.0910393262844813e-09,3.452194041e-09,8.930075360185422e-09,-9.277047363e-09,1.404077088e-08,0.0
autocorrelations,en,bus,jack,t1,20.0,9.59270554588481e-09,1.027091091e-08,4.995869995697575e-09,-4.445907505e-09,1.694095235e-08,0.0
autocorrelations,en,bus,jack,t2,5.0,4.308883502781867e-08,-3.744956081e-08,1.4675857913893326e-07,-7.865477088e-08,4.065659596e-07,0.0
autocorrelations,en,bus,jack,t2,10.0,-7.90588717079166e-08,-8.738666468e-08,4.2508066087001984e-08,-1.310770835e-07,2.651994401e-08,0.0
autocorrelations,en,bus,jack,t2,15.0,2.192429855171079e-08,2.139084267e-08,2.2099426765329448e-08,-9.82208814e-09,5.999060239e-08,0.0
autocorrelations,en,bus,jack,t2,20.0,4.606854609760548e-08,6.922976168e-08,3.903721139129832e-08,-2.500624076e-08,8.143427439e-08,0.0
autocorrelations,en,bus,jack,t3,5.0,-6.025287634880414e-09,-2.056173184e-08,3.914032211460187e-08,-4.628510874e-08,8.610310033e-08,0.0
autocorrelations,en,bus,jack,t3,10.0,1.3540936506270957e-08,2.17085786e-08,1.99646073436777e-08,-3.68911192e-08,3.140158446e-08,0.0
autocorrelations,en,bus,jack,t3,15.0,-1.467928080563195e-08,-1.53204636e-08,1.453430782626359e-08,-3.602396403e-08,1.276761721e-08,0.0
autocorrelations,en,bus,jack,t3,20.0,1.3337441281445276e-08,1.624144686e-08,1.1384577049092804e-08,-1.142167024e-08,2.659026218e-08,0.0
