amplitude_mean,amplitude_max,amplitude_min,amplitude_median,amplitude_std,time_5,amplitude_missing,sensor,language,tone,participant,script
-51.87297881177778,-32.31921397,-72.10119922,-50.43711531,12.224064228711512,0.0,2,amplitudes,ch,casual,jack,t1
-47.702753671875,-35.0364804,-68.04848481,-45.013701409999996,9.920152730728262,5.0,0,amplitudes,ch,casual,jack,t1
-50.46344869869565,-37.7542806,-67.57851146,-48.0533504,9.040162868400047,10.0,1,amplitudes,ch,casual,jack,t1
-52.09526062458334,-36.1540147,-66.37982701,-52.563729635,7.907975030393715,15.000000000000002,0,amplitudes,ch,casual,jack,t1
-43.4852395687234,-33.00160547,-64.18683418,-41.57915528,7.830663193087927,20.0,1,amplitudes,ch,casual,jack,t1
-49.092202857173916,-33.80769141,-69.53936134,-44.315138399999995,11.542824107097731,25.0,1,amplitudes,ch,casual,jack,t1
-48.830559055106384,-33.04435492,-71.02649146,-45.38354308,12.102879993419117,30.000000000000004,1,amplitudes,ch,casual,jack,t1
-48.07543556170213,-34.06954562,-68.63716126,-45.91861243,10.378578536553615,35.0,0,amplitudes,ch,casual,jack,t1
-47.79287833382978,-34.09070404,-68.84525985,-44.25836772,10.696494218125443,40.0,0,amplitudes,ch,casual,jack,t1
-48.16049333604167,-34.55568391,-67.86720466,-44.198951879999996,11.031217664385073,45.0,0,amplitudes,ch,casual,jack,t1
-45.58323536195652,-33.31620874,-64.14918747,-42.74664397,8.946302916534108,50.0,1,amplitudes,ch,casual,jack,t1
-49.751260699166664,-32.22041291,-69.70197924,-44.489728400000004,11.78074674839364,55.0,0,amplitudes,ch,casual,jack,t1
-48.881174030851064,-34.26740063,-67.13373139,-46.95880946,10.106312778678404,60.00000000000001,0,amplitudes,ch,casual,jack,t1
-47.80323991583333,-33.09954348,-67.90180724,-44.31044417,11.279880509649834,65.0,0,amplitudes,ch,casual,jack,t1
-50.105635606808505,-36.10396819,-66.04381301,-46.79279369,10.113974745544656,70.0,0,amplitudes,ch,casual,jack,t1
-46.67788059468085,-33.12948069,-68.51527774,-40.4811253,11.902069462294167,75.0,1,amplitudes,ch,casual,jack,t1
-47.88639364104167,-33.90113645,-69.09885213,-42.709582335,11.710795795057477,80.0,0,amplitudes,ch,casual,jack,t1
-48.646113087173916,-35.77042199,-67.4481079,-45.5622954,9.962142816157073,85.0,1,amplitudes,ch,casual,jack,t1
-49.01619252260869,-35.25218533,-69.72057262,-44.908864030000004,11.377542502407483,90.0,2,amplitudes,ch,casual,jack,t1
-50.47357129659574,-34.57407503,-69.2690576,-44.21953069,12.384599266730167,95.0,1,amplitudes,ch,casual,jack,t1
-44.96138885957447,-34.44085393,-65.39483025,-40.04508463,10.343704422190035,100.0,0,amplitudes,ch,casual,jack,t1
-50.45478997,-33.87410289,-67.7201083,-47.428801335,11.635453237813012,105.0,0,amplitudes,ch,casual,jack,t1
-63.268039045806454,-32.89980343,-69.55622743,-65.09427987,6.772902323353223,110.0,1,amplitudes,ch,casual,jack,t1
-58.126279587333336,-41.0021338,-71.00354403,-63.04720384,10.524404182044218,0.0,3,amplitudes,ch,bus,jack,t2
-52.03834969638298,-42.95657693,-67.93662356,-50.72792127,6.941040662374688,5.0,0,amplitudes,ch,bus,jack,t2
-55.391884830416664,-40.88546822,-70.75309037,-55.255719605,8.282061121440124,10.0,0,amplitudes,ch,bus,jack,t2
-53.78045565,-40.98166775,-70.34754256,-50.51565368,9.570257670835831,15.000000000000002,0,amplitudes,ch,bus,jack,t2
-54.875680717021275,-40.0554289,-70.47009171,-54.50247137,9.349816568618902,20.0,1,amplitudes,ch,bus,jack,t2
-51.07139902891304,-41.29825036,-65.0607611,-50.245578985,6.212032616988429,25.0,1,amplitudes,ch,bus,jack,t2
-55.01118628085106,-42.20023331,-67.04731261,-53.40170142,8.686391718836393,30.000000000000004,1,amplitudes,ch,bus,jack,t2
-50.96127742148936,-41.1675765,-63.87602245,-49.66745912,6.392169753704453,35.0,0,amplitudes,ch,bus,jack,t2
-52.22219014021277,-41.54782151,-64.49160668,-51.28093565,7.499174083521985,40.0,1,amplitudes,ch,bus,jack,t2
-51.27172697127659,-41.70924473,-65.33373006,-49.67955628,7.049422738426306,45.0,0,amplitudes,ch,bus,jack,t2
-53.89046223916666,-41.88488751,-70.28881303,-51.22552661,9.351872322086294,50.0,0,amplitudes,ch,bus,jack,t2
-50.797323049574466,-41.64890228,-65.68289597,-48.59017844,6.456617717012598,55.0,0,amplitudes,ch,bus,jack,t2
-51.152981598749996,-40.03906364,-69.53587613,-49.054158475,7.985885767548419,60.00000000000001,0,amplitudes,ch,bus,jack,t2
-53.89663074212766,-37.13734093,-68.2185103,-53.29032696,8.187606473883807,65.0,0,amplitudes,ch,bus,jack,t2
-55.54674224893618,-40.09338632,-70.72866437,-53.75482886,8.915629471123165,70.0,1,amplitudes,ch,bus,jack,t2
-53.09057888787234,-40.21748446,-69.28268718,-51.88304599,8.623048490816174,75.0,1,amplitudes,ch,bus,jack,t2
-49.79441294173913,-38.89654541,-66.88333193,-47.527947065,7.827189678259426,80.0,1,amplitudes,ch,bus,jack,t2
-51.873581228936175,-38.70787644,-69.70012694,-49.20513208,8.818056234813746,85.0,1,amplitudes,ch,bus,jack,t2
-53.50549172595745,-39.02361326,-71.22485416,-50.26794075,9.455635049285291,90.0,0,amplitudes,ch,bus,jack,t2
-51.65876556893617,-39.47274456,-70.37792939,-47.84163331,9.73699548726418,95.0,0,amplitudes,ch,bus,jack,t2
-48.78332591583333,-40.57924674,-66.31703265,-46.243843354999996,7.222374543932464,100.0,0,amplitudes,ch,bus,jack,t2
-52.696204808936166,-41.32107678,-69.51538341,-50.96454413,8.44141162648344,105.0,0,amplitudes,ch,bus,jack,t2
-51.46620888375,-39.81939325,-68.32293998,-50.162114615,6.939215515566303,110.0,0,amplitudes,ch,bus,jack,t2
-54.44477602978261,-38.734459,-69.34565089,-52.62327241,9.41574609776323,115.00000000000001,1,amplitudes,ch,bus,jack,t2
-52.690682771063834,-39.8114298,-68.69322722,-49.64472843,8.92513318977265,120.00000000000001,1,amplitudes,ch,bus,jack,t2
-51.394236307659575,-40.17810644,-67.99660345,-50.75917177,7.422738022323724,125.00000000000001,0,amplitudes,ch,bus,jack,t2
-53.408135881666674,-39.89923419,-68.67690688,-49.748391255,8.848843977620783,130.0,0,amplitudes,ch,bus,jack,t2
-51.42042715170213,-38.98367301,-67.00501853,-50.09829351,7.445517275579446,135.0,0,amplitudes,ch,bus,jack,t2
-53.33192133895833,-38.74014608,-69.20351294,-50.827415009999996,8.698757460305716,140.0,0,amplitudes,ch,bus,jack,t2
-50.65003446744681,-39.44392482,-67.61072804,-48.32542334,7.761920105753255,145.0,0,amplitudes,ch,bus,jack,t2
-52.280392663125006,-37.11933695,-68.45390026,-49.490462085,9.114333387093552,150.0,0,amplitudes,ch,bus,jack,t2
-52.18735841595745,-39.348706,-66.60352796,-50.17719293,7.908173413081588,155.0,0,amplitudes,ch,bus,jack,t2
-49.567313890638296,-35.6439365,-65.240694,-47.23165457,7.247767850243871,160.0,1,amplitudes,ch,bus,jack,t2
-53.03704607744681,-39.74207815,-68.7829038,-50.85776171,9.096244871462853,165.0,0,amplitudes,ch,bus,jack,t2
-51.713685215,-37.96033547,-68.3291418,-49.4459194,7.98708067796615,170.0,0,amplitudes,ch,bus,jack,t2
-51.38196655106383,-41.6263347,-67.99766594,-48.432933,7.877685486598385,175.0,0,amplitudes,ch,bus,jack,t2
-65.29897198142856,-58.76260671,-70.54207488,-65.74949585,2.649254165287803,180.0,0,amplitudes,ch,bus,jack,t2
-49.278052638695655,-40.04455219,-68.62313575,-45.26394329,9.736446760251408,0.0,2,amplitudes,ch,bus,jack,t3
-50.85707930063829,-41.67841052,-69.56016127,-48.83701507,8.116203099790173,5.0,0,amplitudes,ch,bus,jack,t3
-51.08326215833333,-41.09250179,-69.30708792,-47.68073061,8.952879230633288,10.0,0,amplitudes,ch,bus,jack,t3
-51.74625844956522,-39.37813114,-65.94523709,-49.4814533,7.868268662900835,15.000000000000002,1,amplitudes,ch,bus,jack,t3
-50.77330957583334,-39.95865053,-65.35862043,-50.045911535,5.86550392275567,20.0,0,amplitudes,ch,bus,jack,t3
-53.705322550425535,-41.0595902,-63.34445566,-54.35742984,6.927542546712542,25.0,0,amplitudes,ch,bus,jack,t3
-47.8437814826087,-37.16850194,-59.92747308,-47.94262861,4.7148694137438305,30.000000000000004,1,amplitudes,ch,bus,jack,t3
-51.13098244404255,-41.05181582,-64.88637349,-49.30502717,6.911234623246065,35.0,1,amplitudes,ch,bus,jack,t3
-50.59087810978724,-39.58041804,-64.37438351,-48.65515185,7.517430637088475,40.0,0,amplitudes,ch,bus,jack,t3
-51.07718759791666,-39.82874365,-66.23864631,-49.679524705000006,7.342769212986236,45.0,0,amplitudes,ch,bus,jack,t3
-49.79481704395834,-38.87827687,-69.5684341,-48.02461099,7.2661290384981445,50.0,0,amplitudes,ch,bus,jack,t3
-51.81050492956522,-41.35747214,-66.22431981,-50.18498691,6.623257541258423,55.0,1,amplitudes,ch,bus,jack,t3
-51.27946676021276,-39.02946801,-67.17062845,-49.63478437,7.847732786791292,60.00000000000001,1,amplitudes,ch,bus,jack,t3
-49.551534215957446,-39.69511929,-67.85971708,-47.7844657,7.350257609722512,65.0,1,amplitudes,ch,bus,jack,t3
-53.94894135777778,-41.13301569,-71.10978494,-51.23043668,9.125599753302016,70.0,2,amplitudes,ch,bus,jack,t3
-50.86460564770834,-37.82945165,-69.17960929,-48.0537305,8.476026169092682,75.0,0,amplitudes,ch,bus,jack,t3
-53.14885552893617,-40.48270877,-69.28091408,-50.64275439,8.814965425921374,80.0,0,amplitudes,ch,bus,jack,t3
-51.25565819063829,-40.35620444,-68.00061976,-50.29283138,6.858796180231989,85.0,1,amplitudes,ch,bus,jack,t3
-51.2114450093617,-38.99934718,-68.87165459,-49.44972727,8.06052548748332,90.0,1,amplitudes,ch,bus,jack,t3
-53.23842109404255,-39.07445416,-68.924164,-51.20734258,9.146015476072536,95.0,0,amplitudes,ch,bus,jack,t3
-52.29577970645834,-37.0916392,-67.31724376,-50.18676314,7.598399812676419,100.0,0,amplitudes,ch,bus,jack,t3
-49.54136335375,-39.99620043,-64.19082687,-47.512876765,6.809243778073836,105.0,0,amplitudes,ch,bus,jack,t3
-51.80829628913044,-38.81177502,-70.53285248,-49.23584073,8.721488903758281,110.0,1,amplitudes,ch,bus,jack,t3
-52.81968115425532,-39.98387147,-69.8989999,-50.66765922,7.605195754802599,115.00000000000001,1,amplitudes,ch,bus,jack,t3
-50.34643104638298,-40.40099014,-66.03910639,-49.28221541,6.124510552575995,120.00000000000001,0,amplitudes,ch,bus,jack,t3
-52.546375681956526,-42.03913535,-63.34815598,-50.650009645,6.429497394881412,125.00000000000001,2,amplitudes,ch,bus,jack,t3
-51.71866334489361,-40.96404729,-63.61390219,-49.95090935,6.842654086735571,130.0,0,amplitudes,ch,bus,jack,t3
-50.81651999625,-40.76418555,-70.03556331,-48.268457839999996,7.853953320295549,135.0,0,amplitudes,ch,bus,jack,t3
-52.01101357617021,-42.27188294,-70.28439332,-49.6650454,7.877908281115886,140.0,0,amplitudes,ch,bus,jack,t3
-50.41313300957447,-41.38493228,-68.55396016,-47.22292296,7.71434595816807,145.0,1,amplitudes,ch,bus,jack,t3
-52.66850140914893,-42.0515668,-68.15305449,-50.83702748,8.257708741367082,150.0,0,amplitudes,ch,bus,jack,t3
-62.37684595916667,-44.98264204,-70.34834524,-66.19518674,7.457490490588177,155.0,0,amplitudes,ch,bus,jack,t3
-53.49847445829787,-39.65805968,-70.54726186,-52.04351656,10.472986042170286,0.0,1,amplitudes,ch,bus,jack,t4
-50.16678594956522,-42.15715117,-65.32647706,-49.033514295,5.348219535027364,5.0,1,amplitudes,ch,bus,jack,t4
-52.51332883208334,-38.20799834,-69.17003128,-49.898556745,9.583326317353933,10.0,0,amplitudes,ch,bus,jack,t4
