"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717590680241023E9,"2024-06-05 14:31:20.241 UTC+02:00"
"PAUSE",2.336947222916642E2,1.717590913931467E9,"2024-06-05 14:35:13.931 UTC+02:00"
