"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717753121107221E9,"2024-06-07 11:38:41.107 UTC+02:00"
"PAUSE",1.944943892082665E2,1.717753315599012E9,"2024-06-07 11:41:55.599 UTC+02:00"
