"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717584849151180E9,"2024-06-05 12:54:09.151 UTC+02:00"
"PAUSE",1.729742517501582E2,1.717585022122973E9,"2024-06-05 12:57:02.123 UTC+02:00"
