"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717593004122183E9,"2024-06-05 15:10:04.122 UTC+02:00"
"PAUSE",2.322068883749889E2,1.717593236324793E9,"2024-06-05 15:13:56.325 UTC+02:00"
