"event","experiment time","system time","system time text"
"START",0.000000000E0,1717583214.703,"2024-06-05 12:26:54.703 UTC+02:00"
"PAUSE",3.020749223E1,1717583244.911,"2024-06-05 12:27:24.911 UTC+02:00"
