"event","experiment time","system time","system time text"
"START",0.000000000E0,1717583895.949,"2024-06-05 12:38:15.949 UTC+02:00"
"PAUSE",3.459759908E1,1717583930.547,"2024-06-05 12:38:50.547 UTC+02:00"
