"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,1.292849774E-6
2.083767452E-2,1.272936508E-6
4.167534903E-2,1.280902791E-6
6.251302355E-2,1.264308157E-6
8.335069806E-2,1.264715084E-6
1.041883726E-1,1.243545797E-6
1.250260471E-1,1.235862337E-6
1.458637216E-1,1.214188732E-6
1.667013961E-1,1.200704908E-6
1.875390706E-1,1.175770549E-6
2.083767452E-1,1.154720612E-6
2.292144197E-1,1.128658335E-6
2.500520942E-1,1.101331543E-6
2.708897687E-1,1.072605201E-6
2.917274432E-1,1.039275821E-6
3.125651177E-1,1.007735402E-6
3.334027922E-1,9.703838086E-7
3.542404668E-1,9.361406064E-7
3.750781413E-1,8.938885487E-7
3.959158158E-1,8.582545624E-7
4.167534903E-1,8.118755835E-7
4.375911648E-1,7.743459038E-7
4.584288393E-1,7.236699970E-7
4.792665139E-1,6.853535955E-7
5.001041884E-1,6.311748199E-7
5.209418629E-1,5.915324101E-7
5.417795374E-1,5.349781010E-7
5.626172119E-1,4.941229188E-7
5.834548864E-1,4.361837178E-7
6.042925610E-1,3.938828842E-7
6.251302355E-1,3.354819160E-7
6.459679100E-1,2.918890714E-7
6.668055845E-1,2.339783893E-7
6.876432590E-1,1.884465879E-7
7.084809335E-1,1.327500085E-7
7.293186080E-1,8.529702989E-8
7.501562826E-1,3.184736132E-8
7.709939571E-1,-1.662576021E-8
7.918316316E-1,-6.759755160E-8
8.126693061E-1,-1.163157538E-7
8.335069806E-1,-1.644860452E-7
8.543446551E-1,-2.129959582E-7
8.751823297E-1,-2.579364226E-7
8.960200042E-1,-3.057627749E-7
9.168576787E-1,-3.471187668E-7
9.376953532E-1,-3.936143296E-7
9.585330277E-1,-4.314697596E-7
9.793707022E-1,-4.763443587E-7
1.000208377E0,-5.099473220E-7
1.021046051E0,-5.525646022E-7
1.041883726E0,-5.824101207E-7
1.062721400E0,-6.221228915E-7
1.083559075E0,-6.476422676E-7
1.104396749E0,-6.841138172E-7
1.125234424E0,-7.059952983E-7
1.146072098E0,-7.378726460E-7
1.166909773E0,-7.562633780E-7
1.187747447E0,-7.833147411E-7
1.208585122E0,-7.984203686E-7
1.229422796E0,-8.199960339E-7
1.250260471E0,-8.319494735E-7
1.271098145E0,-8.478580704E-7
1.291935820E0,-8.565459028E-7
1.312773494E0,-8.670984755E-7
1.333611169E0,-8.720174240E-7
1.354448844E0,-8.767584797E-7
1.375286518E0,-8.787823283E-7
1.396124193E0,-8.776303426E-7
1.416961867E0,-8.760696782E-7
1.437799542E0,-8.691184552E-7
1.458637216E0,-8.646233389E-7
1.479474891E0,-8.521040283E-7
1.500312565E0,-8.444117411E-7
1.521150240E0,-8.267043338E-7
1.541987914E0,-8.155938224E-7
1.562825589E0,-7.932024106E-7
1.583663263E0,-7.786730085E-7
1.604500938E0,-7.517616892E-7
1.625338612E0,-7.336175054E-7
1.646176287E0,-7.032613836E-7
1.667013961E0,-6.816267052E-7
1.687851636E0,-6.480678888E-7
1.708689310E0,-6.227652199E-7
1.729526985E0,-5.871895049E-7
1.750364659E0,-5.584355109E-7
1.771202334E0,-5.208307429E-7
1.792040008E0,-4.887157687E-7
1.812877683E0,-4.501453702E-7
1.833715357E0,-4.148617124E-7
1.854553032E0,-3.750509747E-7
1.875390706E0,-3.372034307E-7
1.896228381E0,-2.970007270E-7
1.917066055E0,-2.567368317E-7
1.937903730E0,-2.160151961E-7
1.958741404E0,-1.743380052E-7
1.979579079E0,-1.340906564E-7
2.000416753E0,-9.021633083E-8
2.021254428E0,-5.115640245E-8
2.042092103E0,-6.322178915E-9
2.062929777E0,3.167606179E-8
2.083767452E0,7.702275477E-8
2.104605126E0,1.137654425E-7
2.125442801E0,1.588279660E-7
2.146280475E0,1.942058393E-7
2.167118150E0,2.388965364E-7
2.187955824E0,2.722276714E-7
2.208793499E0,3.154683599E-7
2.229631173E0,3.476807958E-7
2.250468848E0,3.884351540E-7
2.271306522E0,4.190268629E-7
2.292144197E0,4.568770687E-7
2.312981871E0,4.856319894E-7
2.333819546E0,5.204931025E-7
2.354657220E0,5.470382549E-7
2.375494895E0,5.781966946E-7
2.396332569E0,6.026193786E-7
2.417170244E0,6.301272072E-7
2.438007918E0,6.521980595E-7
2.458845593E0,6.751676911E-7
2.479683267E0,6.948313020E-7
2.500520942E0,7.137773622E-7
2.521358616E0,7.306863531E-7
2.542196291E0,7.446383872E-7
2.563033965E0,7.588478864E-7
2.583871640E0,7.682275967E-7
2.604709314E0,7.796492726E-7
2.625546989E0,7.836989800E-7
2.646384663E0,7.927380686E-7
2.667222338E0,7.919550950E-7
2.688060013E0,7.977566415E-7
2.708897687E0,7.924420372E-7
2.729735362E0,7.949672954E-7
2.750573036E0,7.854191620E-7
2.771410711E0,7.840045849E-7
2.792248385E0,7.703993749E-7
2.813086060E0,7.655016383E-7
2.833923734E0,7.484506777E-7
2.854761409E0,7.393810464E-7
2.875599083E0,7.192732895E-7
2.896436758E0,7.062584139E-7
2.917274432E0,6.838242000E-7
2.938112107E0,6.665535036E-7
2.958949781E0,6.415009076E-7
2.979787456E0,6.203560268E-7
3.000625130E0,5.932572807E-7
3.021462805E0,5.683168433E-7
3.042300479E0,5.391173042E-7
3.063138154E0,5.105072815E-7
3.083975828E0,4.805312176E-7
3.104813503E0,4.481772128E-7
3.125651177E0,4.173723120E-7
3.146488852E0,3.819965078E-7
3.167326526E0,3.505846415E-7
3.188164201E0,3.122000899E-7
3.209001875E0,2.804545832E-7
3.229839550E0,2.400374162E-7
3.250677224E0,2.078349404E-7
3.271514899E0,1.654594947E-7
3.292352573E0,1.336205133E-7
3.313190248E0,9.000978833E-8
3.334027922E0,5.799369758E-8
3.354865597E0,1.435609959E-8
3.375703272E0,-1.805295920E-8
3.396540946E0,-6.129054551E-8
3.417378621E0,-9.356477202E-8
3.438216295E0,-1.359481803E-7
3.459053970E0,-1.682789758E-7
3.479891644E0,-2.089565824E-7
3.500729319E0,-2.409831342E-7
3.521566993E0,-2.796837509E-7
3.542404668E0,-3.117961371E-7
3.563242342E0,-3.477905350E-7
3.584080017E0,-3.791835188E-7
3.604917691E0,-4.125765044E-7
3.625755366E0,-4.432157288E-7
