"event","experiment time","system time","system time text"
"START",0.000000000E0,1717594548.933,"2024-06-05 15:35:48.933 UTC+02:00"
"PAUSE",2.477868203E2,1717594796.720,"2024-06-05 15:39:56.720 UTC+02:00"
