"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717583896177720E9,"2024-06-05 12:38:16.178 UTC+02:00"
"PAUSE",3.383947770833038E1,1.717583930016717E9,"2024-06-05 12:38:50.017 UTC+02:00"
