"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717583214852941E9,"2024-06-05 12:26:54.853 UTC+02:00"
"PAUSE",3.010705145820975E1,1.717583244959564E9,"2024-06-05 12:27:24.960 UTC+02:00"
