"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717595909894948E9,"2024-06-05 15:58:29.895 UTC+02:00"
"PAUSE",1.577975550834090E2,1.717596067688307E9,"2024-06-05 16:01:07.688 UTC+02:00"
