"event","experiment time","system time","system time text"
"START",0.000000000E0,1717595910.123,"2024-06-05 15:58:30.123 UTC+02:00"
"PAUSE",1.571441672E2,1717596067.267,"2024-06-05 16:01:07.267 UTC+02:00"
