"Time (ms)","Recording (a.u.)"
3.771619087E0,1.511390728E-4
3.792456762E0,1.217507670E-4
3.813294436E0,1.309246727E-4
3.834132111E0,1.011116256E-4
3.854969785E0,5.437433720E-5
3.875807460E0,5.771651195E-5
3.896645134E0,3.985309741E-5
3.917482809E0,6.070725794E-5
3.938320483E0,4.497014015E-5
3.959158158E0,3.373569052E-5
3.979995832E0,5.502281419E-5
4.000833507E0,9.361308912E-6
4.021671181E0,2.253155435E-5
4.042508856E0,5.618087380E-5
4.063346531E0,3.103749623E-5
4.084184205E0,3.271928654E-5
4.105021880E0,6.306746945E-5
4.125859554E0,5.235241770E-5
4.146697229E0,4.979870209E-5
4.167534903E0,8.425590204E-5
4.188372578E0,9.043827595E-5
4.209210252E0,8.270986291E-5
4.230047927E0,3.839275450E-5
4.250885601E0,3.371394632E-5
4.271723276E0,5.083900396E-5
4.292560950E0,5.406090168E-6
4.313398625E0,2.695608782E-5
4.334236299E0,5.868441076E-5
4.355073974E0,8.172422531E-5
4.375911648E0,1.142775363E-4
4.396749323E0,1.132266480E-4
4.417586997E0,1.490717696E-4
4.438424672E0,1.859203912E-4
4.459262346E0,2.041370317E-4
4.480100021E0,2.240381000E-4
4.500937695E0,2.819322399E-4
4.521775370E0,2.998432028E-4
4.542613044E0,2.615642443E-4
4.563450719E0,2.976263058E-4
4.584288393E0,3.049209481E-4
4.605126068E0,2.998472482E-4
4.625963742E0,3.055330599E-4
4.646801417E0,2.840228844E-4
4.667639091E0,3.050505766E-4
4.688476766E0,2.988620545E-4
4.709314441E0,2.927321475E-4
4.730152115E0,3.173364094E-4
4.750989790E0,3.255540505E-4
4.771827464E0,3.523583291E-4
4.792665139E0,3.905531194E-4
4.813502813E0,3.777766251E-4
4.834340488E0,3.297435469E-4
4.855178162E0,3.115312138E-4
4.876015837E0,2.889034804E-4
4.896853511E0,2.925675653E-4
4.917691186E0,3.084965283E-4
4.938528860E0,3.014149843E-4
4.959366535E0,3.333464265E-4
4.980204209E0,3.426302865E-4
5.001041884E0,3.532577539E-4
5.021879558E0,3.829661291E-4
5.042717233E0,3.599782940E-4
5.063554907E0,3.440105356E-4
5.084392582E0,3.400043934E-4
5.105230256E0,2.948388574E-4
5.126067931E0,2.711072157E-4
5.146905605E0,2.884546411E-4
5.167743280E0,2.723103389E-4
5.188580954E0,2.718656033E-4
5.209418629E0,2.829146979E-4
5.230256303E0,2.671710681E-4
5.251093978E0,2.785008983E-4
5.271931652E0,2.608845243E-4
5.292769327E0,2.263597707E-4
5.313607001E0,2.583344758E-4
5.334444676E0,2.670786926E-4
5.355282350E0,2.455458161E-4
5.376120025E0,3.061075113E-4
5.396957700E0,3.207199043E-4
5.417795374E0,2.693806018E-4
5.438633049E0,3.039350267E-4
5.459470723E0,3.190936986E-4
5.480308398E0,3.036606940E-4
5.501146072E0,3.167746763E-4
5.521983747E0,3.249094007E-4
5.542821421E0,3.596029128E-4
5.563659096E0,3.633743036E-4
5.584496770E0,3.258240176E-4
5.605334445E0,3.305811551E-4
5.626172119E0,3.450970398E-4
5.647009794E0,3.164738300E-4
5.667847468E0,3.054761619E-4
5.688685143E0,3.065030323E-4
5.709522817E0,2.854634076E-4
5.730360492E0,2.871442121E-4
5.751198166E0,2.947072499E-4
5.772035841E0,3.444635659E-4
5.792873515E0,3.931468236E-4
5.813711190E0,3.771337215E-4
