"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
2.539125418E-1,NaN
3.592815418E-1,-7.067275672E1
4.633867918E-1,-6.321498736E1
5.683107916E-1,-6.399290495E1
6.733643333E-1,-6.254923178E1
7.771432500E-1,-6.463890896E1
8.800732500E-1,-6.159586071E1
9.847302083E-1,-6.098358244E1
1.087087458E0,-6.154776773E1
1.193747875E0,-6.308137088E1
1.296834958E0,-5.652802583E1
1.402046833E0,-4.709126898E1
1.504291958E0,-4.533490501E1
1.610450792E0,-4.343736405E1
1.713413333E0,-4.572263588E1
1.819045958E0,-4.296942883E1
1.921241917E0,-4.686847619E1
2.027053708E0,-4.990991191E1
2.129997875E0,NaN
2.234866833E0,-4.955307249E1
2.336505833E0,-4.086174777E1
2.438612458E0,-4.323421309E1
2.544947333E0,-4.873209125E1
2.646747750E0,-5.159993578E1
2.753392417E0,-4.548260154E1
2.855945750E0,-4.888383186E1
2.960015833E0,-4.391502279E1
3.063401292E0,-4.957603804E1
3.170068292E0,-5.156339195E1
3.273276083E0,-4.440038453E1
3.377118375E0,-4.571639686E1
3.483831500E0,-4.843249931E1
3.590394750E0,-4.361165715E1
3.693780792E0,-5.023259886E1
3.800541750E0,-4.909973667E1
3.905700042E0,-4.644502452E1
4.010413042E0,-4.541941017E1
4.117064667E0,-4.383944640E1
4.222392292E0,NaN
4.327147042E0,-4.490952749E1
4.430688875E0,-4.671897927E1
4.534911792E0,-4.937330517E1
4.639802833E0,-4.763644997E1
4.743343250E0,-5.435362054E1
4.850075833E0,-4.905801304E1
4.956798083E0,-5.026201194E1
5.060423708E0,-5.110648965E1
5.167115000E0,-4.762376585E1
5.271685167E0,-4.905411838E1
5.376745875E0,-5.125531983E1
5.483888292E0,-4.930125513E1
5.588417083E0,-5.476957945E1
5.693271250E0,-5.196774705E1
5.800044542E0,-5.021767739E1
5.904988875E0,-4.865005198E1
6.009963792E0,-4.994724336E1
6.116663542E0,-5.061900208E1
6.221664500E0,-5.058002428E1
6.326601375E0,-5.013520327E1
6.433275000E0,-4.694743424E1
6.538369000E0,-5.005241314E1
6.644931125E0,-4.927428495E1
6.751540000E0,-4.577767447E1
6.854991875E0,-5.333319127E1
6.960113875E0,-5.359501357E1
7.062060042E0,-5.034342043E1
7.166738208E0,-4.740305905E1
7.271740917E0,-4.919155722E1
7.377072750E0,-4.867806335E1
7.479217833E0,-5.231706928E1
7.585474958E0,-5.314383088E1
7.688408208E0,-6.133058150E1
7.794450125E0,-6.100299161E1
7.896616417E0,-5.440913648E1
8.000660250E0,-5.938666924E1
8.105013458E0,-6.498835602E1
8.211790625E0,-6.323013549E1
8.318899167E0,-6.260878792E1
8.421698750E0,-6.153663306E1
8.526638417E0,-6.230015157E1
8.630903542E0,-6.364538695E1
8.734950667E0,-6.342495296E1
8.837507792E0,-6.689774377E1
8.943253875E0,-4.668738405E1
9.048122083E0,-4.905321088E1
9.150684875E0,-4.638602044E1
9.254987667E0,-3.896731738E1
9.360014292E0,-4.108998347E1
9.465209917E0,-3.555600563E1
9.571730917E0,-4.441103189E1
9.676634625E0,-4.301282218E1
9.782303458E0,-4.761069069E1
9.888334542E0,-3.874435549E1
9.993257500E0,-3.660182401E1
1.009925504E1,-3.880319877E1
1.020590842E1,-4.360660214E1
1.031041908E1,-4.398253438E1
1.041616483E1,-4.207146354E1
1.052280096E1,-4.537177888E1
1.062705742E1,-4.329905754E1
1.073131579E1,-4.319192744E1
1.083397413E1,-4.684845313E1
1.094061679E1,-4.085477827E1
1.104370262E1,-4.101903018E1
1.114865300E1,-4.112359839E1
1.125069717E1,-4.596998680E1
1.135728933E1,-5.100623342E1
1.146044975E1,-3.835624828E1
1.156577629E1,-4.317954372E1
1.166794775E1,-4.658998201E1
1.177464617E1,-3.777840795E1
1.187712492E1,-4.497386019E1
1.198297667E1,-4.369481990E1
1.208514954E1,-4.421242149E1
1.219183721E1,-4.293985168E1
1.229378212E1,-4.276231993E1
1.240029358E1,-4.442862104E1
1.250413354E1,-5.079478772E1
1.261049046E1,-5.700794810E1
1.271730467E1,-5.314963421E1
1.281936488E1,NaN
1.292537371E1,-4.723602846E1
1.303219246E1,-4.360528827E1
1.313420013E1,-4.264834365E1
1.323637588E1,-4.426643566E1
1.333818442E1,-4.809851880E1
1.344378483E1,-4.463104530E1
1.354660746E1,-4.918336088E1
1.365145025E1,-5.026101546E1
1.375367867E1,-4.372070259E1
1.386038542E1,-4.409516521E1
1.396305142E1,-5.314623745E1
1.406868863E1,-5.501658492E1
1.417090417E1,-4.835675752E1
1.427712717E1,-4.500521935E1
1.438396771E1,-4.400119128E1
1.448596896E1,-5.283344059E1
1.458812300E1,-6.311571506E1
1.469376396E1,-5.930175571E1
1.480065208E1,-5.143841849E1
1.490308025E1,-4.940625409E1
1.500540292E1,-4.874438397E1
1.511040812E1,-5.733137953E1
1.521702946E1,-6.376192320E1
1.532259087E1,-4.344029963E1
1.542710146E1,-4.226567407E1
1.553364033E1,-4.800930914E1
1.563989287E1,-4.642847008E1
1.574268375E1,-4.816391376E1
1.584934529E1,-4.635721459E1
1.595477238E1,-4.840048707E1
1.605682775E1,-5.099726985E1
1.616356138E1,-4.158242484E1
1.626899942E1,-4.468395496E1
1.637395683E1,-5.029543824E1
1.647733738E1,-5.530699907E1
1.658398583E1,-4.909221736E1
1.668903954E1,-4.952820864E1
1.679574971E1,-6.272004348E1
1.690254896E1,-6.302068172E1
1.700600258E1,-6.325551095E1
1.711155788E1,-6.324341821E1
1.721818521E1,-5.487411135E1
1.732450321E1,-4.198583127E1
1.743115792E1,-4.435203755E1
1.753495092E1,-4.682165879E1
1.764145621E1,-4.063869232E1
1.774810867E1,-4.472400414E1
1.785475063E1,-4.508494198E1
1.795838150E1,-4.617447152E1
1.806505571E1,-4.474279248E1
1.817176117E1,-4.138909505E1
1.827737250E1,-4.106945763E1
1.838401412E1,-4.905141488E1
1.848997913E1,-4.823208418E1
1.859178521E1,-5.555181619E1
1.869849096E1,-4.845743800E1
