"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717593883547986E9,"2024-06-05 15:24:43.548 UTC+02:00"
"PAUSE",1.692621900833328E2,1.717594052807058E9,"2024-06-05 15:27:32.807 UTC+02:00"
