"event","experiment time","system time","system time text"
"START",0.000000000E0,1717586014.501,"2024-06-05 13:13:34.501 UTC+02:00"
"PAUSE",1.821902437E2,1717586196.691,"2024-06-05 13:16:36.691 UTC+02:00"
