"Time (ms)","Recording (a.u.)"
3.729943738E0,-2.441406250E-4
3.750781413E0,1.831054688E-4
3.771619087E0,-3.356933594E-4
3.792456762E0,1.525878906E-4
3.813294436E0,-2.746582031E-4
3.834132111E0,0.000000000E0
3.854969785E0,-9.155273438E-5
3.875807460E0,-2.441406250E-4
3.896645134E0,0.000000000E0
3.917482809E0,-2.746582031E-4
3.938320483E0,-1.220703125E-4
3.959158158E0,-4.882812500E-4
3.979995832E0,-6.103515625E-5
4.000833507E0,-3.356933594E-4
4.021671181E0,-4.882812500E-4
4.042508856E0,-1.220703125E-4
4.063346531E0,-6.103515625E-4
4.084184205E0,-2.441406250E-4
4.105021880E0,-6.713867188E-4
4.125859554E0,-4.272460938E-4
4.146697229E0,-3.967285156E-4
4.167534903E0,-6.103515625E-4
4.188372578E0,-6.103515625E-4
4.209210252E0,-6.103515625E-4
4.230047927E0,-4.272460938E-4
4.250885601E0,-9.155273438E-4
4.271723276E0,-5.187988281E-4
4.292560950E0,-8.239746094E-4
4.313398625E0,-5.493164062E-4
4.334236299E0,-6.408691406E-4
4.355073974E0,-7.324218750E-4
4.375911648E0,-3.051757812E-4
4.396749323E0,-9.765625000E-4
4.417586997E0,-3.356933594E-4
4.438424672E0,-6.103515625E-4
4.459262346E0,-7.324218750E-4
4.480100021E0,-5.493164062E-4
4.500937695E0,-8.544921875E-4
4.521775370E0,-5.493164062E-4
4.542613044E0,-7.934570312E-4
4.563450719E0,-6.408691406E-4
4.584288393E0,-6.713867188E-4
4.605126068E0,-6.408691406E-4
4.625963742E0,-8.544921875E-4
4.646801417E0,-9.155273438E-4
4.667639091E0,-5.493164062E-4
4.688476766E0,-9.155273438E-4
4.709314441E0,-4.577636719E-4
4.730152115E0,-8.850097656E-4
4.750989790E0,-4.882812500E-4
4.771827464E0,-8.544921875E-4
4.792665139E0,-7.934570312E-4
4.813502813E0,-7.629394531E-4
4.834340488E0,-5.798339844E-4
4.855178162E0,-3.967285156E-4
4.876015837E0,-9.155273438E-4
4.896853511E0,-6.103515625E-4
4.917691186E0,-8.239746094E-4
4.938528860E0,-4.272460938E-4
4.959366535E0,-6.408691406E-4
4.980204209E0,-5.493164062E-4
5.001041884E0,-3.356933594E-4
5.021879558E0,-8.544921875E-4
5.042717233E0,-3.356933594E-4
5.063554907E0,-6.408691406E-4
5.084392582E0,-3.356933594E-4
5.105230256E0,-1.220703125E-4
5.126067931E0,-3.662109375E-4
5.146905605E0,2.441406250E-4
5.167743280E0,-2.746582031E-4
5.188580954E0,-9.155273438E-5
5.209418629E0,-3.051757812E-4
5.230256303E0,0.000000000E0
5.251093978E0,-3.051757812E-5
5.271931652E0,0.000000000E0
5.292769327E0,1.220703125E-4
5.313607001E0,3.051757812E-5
5.334444676E0,-3.051757812E-5
5.355282350E0,-6.103515625E-5
