"event","experiment time","system time","system time text"
"START",0.000000000E0,1717597642.652,"2024-06-05 16:27:22.652 UTC+02:00"
"PAUSE",2.944499059E2,1717597937.102,"2024-06-05 16:32:17.102 UTC+02:00"
