"event","experiment time","system time","system time text"
"START",0.000000000E0,1717602540.405,"2024-06-05 17:49:00.405 UTC+02:00"
"PAUSE",1.021642819E2,1717602642.570,"2024-06-05 17:50:42.570 UTC+02:00"
