"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717601350631655E9,"2024-06-05 17:29:10.632 UTC+02:00"
"PAUSE",1.136357477915008E2,1.717601464266879E9,"2024-06-05 17:31:04.267 UTC+02:00"
