"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,1.052540028E-7
2.083767452E-2,9.811373676E-8
4.167534903E-2,9.827801850E-8
6.251302355E-2,9.763898894E-8
8.335069806E-2,9.633965007E-8
1.041883726E-1,9.356324908E-8
1.250260471E-1,9.079093504E-8
1.458637216E-1,8.886290223E-8
1.667013961E-1,8.707244154E-8
1.875390706E-1,8.402741781E-8
2.083767452E-1,8.106122808E-8
2.292144197E-1,7.894636134E-8
2.500520942E-1,7.577577362E-8
2.708897687E-1,7.323518392E-8
2.917274432E-1,7.021989295E-8
3.125651177E-1,6.744838558E-8
3.334027922E-1,6.476799524E-8
3.542404668E-1,6.236667921E-8
3.750781413E-1,5.958439016E-8
3.959158158E-1,5.716501208E-8
4.167534903E-1,5.519586502E-8
4.375911648E-1,5.299574281E-8
4.584288393E-1,5.068047718E-8
4.792665139E-1,4.875728101E-8
5.001041884E-1,4.709906520E-8
5.209418629E-1,4.536740443E-8
5.417795374E-1,4.355640006E-8
5.626172119E-1,4.197195525E-8
5.834548864E-1,4.078205347E-8
6.042925610E-1,3.941694450E-8
6.251302355E-1,3.797101712E-8
6.459679100E-1,3.684787824E-8
6.668055845E-1,3.575473936E-8
6.876432590E-1,3.454646044E-8
7.084809335E-1,3.349048485E-8
7.293186080E-1,3.236898095E-8
7.501562826E-1,3.161629010E-8
7.709939571E-1,3.022780169E-8
7.918316316E-1,2.929070125E-8
8.126693061E-1,2.835946683E-8
8.335069806E-1,2.713122663E-8
8.543446551E-1,2.624767997E-8
8.751823297E-1,2.503433445E-8
8.960200042E-1,2.409809398E-8
9.168576787E-1,2.301028633E-8
9.376953532E-1,2.199879893E-8
9.585330277E-1,2.073495483E-8
9.793707022E-1,1.962890180E-8
1.000208377E0,1.858451062E-8
1.021046051E0,1.742735653E-8
1.041883726E0,1.616775990E-8
1.062721400E0,1.489370904E-8
1.083559075E0,1.409733644E-8
1.104396749E0,1.264063903E-8
1.125234424E0,1.142960037E-8
1.146072098E0,1.015956146E-8
