"event","experiment time","system time","system time text"
"START",0.000000000E0,1717584054.403,"2024-06-05 12:40:54.403 UTC+02:00"
"PAUSE",4.461457816E1,1717584099.018,"2024-06-05 12:41:39.018 UTC+02:00"
