"Time (ms)","Recording (a.u.)"
3.667430715E0,4.825029464E-6
3.688268389E0,-6.889738870E-5
3.709106064E0,-5.001721001E-5
3.729943738E0,4.086751869E-5
3.750781413E0,-8.519273251E-5
3.771619087E0,8.323851216E-5
3.792456762E0,-1.040923016E-4
3.813294436E0,7.793689292E-5
3.834132111E0,-1.255048119E-5
3.854969785E0,3.491956886E-5
3.875807460E0,1.023624500E-4
3.896645134E0,-3.010182263E-5
3.917482809E0,6.384574954E-5
3.938320483E0,-1.237678225E-4
3.959158158E0,4.144935156E-5
3.979995832E0,-6.857634435E-5
4.000833507E0,1.984270057E-5
4.021671181E0,3.516086144E-5
4.042508856E0,2.501480776E-5
4.063346531E0,7.219146937E-5
4.084184205E0,-8.917067316E-5
4.105021880E0,1.194523065E-4
4.125859554E0,-1.062883457E-4
4.146697229E0,4.730882574E-5
4.167534903E0,-2.257555752E-5
4.188372578E0,-6.764769205E-5
4.209210252E0,6.615297752E-5
4.230047927E0,-7.175985957E-5
4.250885601E0,1.410752593E-4
4.271723276E0,-1.057454756E-5
4.292560950E0,1.303568861E-4
4.313398625E0,1.818629244E-5
4.334236299E0,2.401247912E-6
4.355073974E0,3.913131513E-5
4.375911648E0,-7.780140731E-5
4.396749323E0,9.053966642E-5
4.417586997E0,-3.938008740E-5
4.438424672E0,1.502476662E-4
4.459262346E0,-2.084069274E-5
4.480100021E0,4.054367309E-5
4.500937695E0,6.414698873E-5
4.521775370E0,-2.024568312E-5
4.542613044E0,1.441788045E-4
4.563450719E0,4.237530447E-5
4.584288393E0,2.861113171E-4
4.605126068E0,1.524446270E-4
4.625963742E0,2.550359350E-4
4.646801417E0,2.241094626E-4
4.667639091E0,2.025490976E-4
4.688476766E0,2.814338950E-4
4.709314441E0,1.023945006E-4
4.730152115E0,2.780132927E-4
4.750989790E0,5.988344128E-5
4.771827464E0,1.818404708E-4
4.792665139E0,1.160392858E-4
4.813502813E0,1.207234018E-4
4.834340488E0,1.917103946E-4
