relative_time,PitchSensor,DecibelSource
0,0.0,20.5307844348342
67,0.0,20.253058652647702
133,0.0,19.637878273455552
200,0.0,23.010299956639813
267,,27.458551951737288
333,,22.121876044039578
400,0.0,21.172712956557646
467,0.0,23.09630167425899
533,,29.196010237841108
600,0.0,21.875207208364632
667,0.0,22.7415784926368
733,0.0,22.52853030979893
800,0.0,22.944662261615928
867,0.0,21.367205671564065
933,0.0,23.117538610557542
1000,0.0,23.710678622717364
1067,0.0,25.403294747908735
1133,0.0,24.45604203273598
1200,0.0,24.548448600085102
1267,0.0,33.96373727536507
1333,,29.513375187959177
1400,0.0,36.86993566264678
1467,,42.39824820288267
1533,,44.071018452351765
1600,138.76953125,46.35413369321829
1667,146.26302083333334,47.51086554886017
1733,157.6953125,50.63047989670462
1800,,46.65543469355491
1867,,40.29099566823543
1933,339.140625,36.75503384727956
2000,182.96549479166669,30.406023401140732
2067,,38.28015064223977
2133,,45.2565368868682
2200,129.18923611111111,45.31248935551362
2267,,34.93179120682515
2333,246.259765625,48.99295093170268
2400,129.24088541666666,48.92878964755453
2467,129.24088541666666,45.60516362609313
2533,127.5915798611111,38.86208624167497
2600,107.79007523148147,39.14448940698554
2667,,38.73843533223436
2733,335.703125,31.83839037056421
2800,335.703125,23.344537511509312
2867,0.0,27.65668554759014
2933,0.0,23.76576957056512
3000,0.0,32.00576926754848
3067,0.0,29.29418925714293
3133,0.0,22.78753600952829
3200,0.0,21.55336037465062
3267,0.0,21.13943352306837
3333,0.0,22.576785748691847
3400,0.0,39.88425170006303
3467,,39.05903766216617
3533,114.80043247767857,39.17190308511564
3600,,45.70274341433394
3667,,50.60183935989024
3733,339.296875,41.37797043058186
3800,178.28125,26.9284691927723
3867,0.0,28.920946026904804
3933,,47.384158516303685
4000,,47.92202520063025
4067,141.1306818181818,45.68436414416885
4133,,43.612744225622066
4200,375.78125,29.16453948549925
4267,375.78125,45.497632254687865
4333,190.54036458333331,47.074253871378005
4400,123.98489408450344,43.07709923404807
4467,121.665625,40.20485585796551
4533,,43.114147671623584
4600,,26.893088591236204
4667,0.0,26.22214022966295
4733,0.0,25.563025007672874
4800,,47.65057281764364
4867,,28.69818207979328
4933,222.99944196428572,26.127838567197355
5000,0.0,30.948203803548
5067,0.0,31.092409685882032
5133,,34.8826861549546
5200,,44.6080766845123
5267,145.400390625,43.06725176782492
5333,,26.45422269349092
5400,0.0,27.61927838420529
5467,0.0,25.751878449276614
5533,0.0,24.082399653118497
5600,0.0,26.03144372620182
5667,0.0,23.710678622717364
5733,0.0,21.271047983648078
5800,0.0,22.7415784926368
5867,0.0,27.16003343634799
5933,0.0,21.105897102992486
6000,0.0,19.86771734266245
6067,0.0,21.931245983544617
6133,0.0,24.899584794248348
6200,0.0,26.159500516564012
6267,0.0,24.50249108319361
6333,0.0,24.771212547196626
6400,0.0,50.24493877347127
6467,,50.541877433036376
6533,119.9609375,34.779889762508894
6600,96.76171875,32.657609167176105
6667,,44.7973362534305
6733,,49.39519252618618
6800,122.32421875,43.805910832268324
6867,120.34505208333333,42.53991862812171
6934,121.091796875,50.70647299144681
7000,121.091796875,50.14936153690715
7067,127.30902777777777,47.95282016618059
7133,82.00446428571428,43.50558117941699
7200,47.37909226190476,30.11993114659257
7267,,48.35455925694344
7333,,48.65571788948395
7400,146.60833333333332,49.24413689744878
7467,,43.42620042553348
7533,141.802734375,38.26398782187618
7600,206.42578125,28.135809885681915
7667,206.42578125,27.730546933642625
7734,0.0,25.41579243946581
7800,0.0,24.36162647040756
7867,0.0,30.56142262059052
7933,0.0,34.409090820652175
8000,,29.62842681201242
8067,381.0546875,49.55663702334214
8133,,44.255994249848214
8200,134.291015625,43.59095223652578
8267,134.291015625,39.48950610245548
8333,127.78645833333334,35.289167002776544
8400,122.27864583333333,50.52732407403219
8467,117.51352163461539,49.94660228570244
8533,117.51352163461539,45.25213306532034
8600,117.02083333333333,34.196253608877434
8667,,23.59835482339888
