"Delay (ms)","Autocorrelation (a.u.)"
3.729943738E0,-1.054494570E-7
3.750781413E0,-1.066896532E-7
3.771619087E0,-1.077315806E-7
3.792456762E0,-1.087991683E-7
3.813294436E0,-1.088308018E-7
3.834132111E0,-1.086869182E-7
3.854969785E0,-1.084773861E-7
3.875807460E0,-1.079159436E-7
3.896645134E0,-1.070433458E-7
3.917482809E0,-1.061019138E-7
3.938320483E0,-1.052638903E-7
3.959158158E0,-1.049948020E-7
3.979995832E0,-1.043764267E-7
4.000833507E0,-1.040235576E-7
4.021671181E0,-1.045725455E-7
4.042508856E0,-1.049448489E-7
4.063346531E0,-1.061101010E-7
4.084184205E0,-1.076648544E-7
4.105021880E0,-1.096732991E-7
4.125859554E0,-1.112871788E-7
4.146697229E0,-1.137239797E-7
4.167534903E0,-1.154396602E-7
4.188372578E0,-1.171617569E-7
4.209210252E0,-1.186893450E-7
4.230047927E0,-1.195646386E-7
4.250885601E0,-1.198954206E-7
4.271723276E0,-1.198509799E-7
4.292560950E0,-1.186463199E-7
4.313398625E0,-1.174303884E-7
4.334236299E0,-1.157306213E-7
4.355073974E0,-1.135759138E-7
4.375911648E0,-1.114196588E-7
4.396749323E0,-1.097385771E-7
4.417586997E0,-1.074796593E-7
4.438424672E0,-1.059159643E-7
4.459262346E0,-1.050903906E-7
4.480100021E0,-1.044090809E-7
4.500937695E0,-1.045249087E-7
4.521775370E0,-1.047102858E-7
4.542613044E0,-1.054953512E-7
4.563450719E0,-1.064295759E-7
4.584288393E0,-1.073812895E-7
4.605126068E0,-1.085359952E-7
4.625963742E0,-1.098209965E-7
4.646801417E0,-1.109804025E-7
4.667639091E0,-1.115291347E-7
4.688476766E0,-1.122421824E-7
4.709314441E0,-1.121280616E-7
4.730152115E0,-1.118244901E-7
4.750989790E0,-1.114173055E-7
4.771827464E0,-1.102734012E-7
4.792665139E0,-1.092215173E-7
4.813502813E0,-1.081932254E-7
4.834340488E0,-1.065351066E-7
4.855178162E0,-1.054240025E-7
4.876015837E0,-1.043976708E-7
4.896853511E0,-1.035071705E-7
4.917691186E0,-1.028642111E-7
4.938528860E0,-1.025906005E-7
4.959366535E0,-1.022907391E-7
4.980204209E0,-1.023256221E-7
5.001041884E0,-1.020361914E-7
5.021879558E0,-1.023245481E-7
5.042717233E0,-1.028263488E-7
5.063554907E0,-1.031926667E-7
5.084392582E0,-1.033935680E-7
