"event","experiment time","system time","system time text"
"START",0.000000000E0,1717583662.126,"2024-06-05 12:34:22.126 UTC+02:00"
"PAUSE",3.525926869E1,1717583697.385,"2024-06-05 12:34:57.385 UTC+02:00"
