"Time (ms)","Recording (a.u.)"
0.000000000E0,-9.684560355E-4
2.083767452E-2,-6.426025648E-4
4.167534903E-2,-7.796147838E-4
6.251302355E-2,-8.021930116E-4
8.335069806E-2,-5.964380689E-4
1.041883726E-1,-7.928474806E-4
1.250260471E-1,-6.767482264E-4
1.458637216E-1,-9.502665489E-4
1.667013961E-1,-6.955027347E-4
1.875390706E-1,-9.161935886E-4
2.083767452E-1,-8.357574698E-4
2.292144197E-1,-8.627576753E-4
2.500520942E-1,-9.630164132E-4
2.708897687E-1,-8.214412956E-4
2.917274432E-1,-1.044964883E-3
3.125651177E-1,-7.293625968E-4
3.334027922E-1,-1.008698484E-3
3.542404668E-1,-8.126129396E-4
3.750781413E-1,-9.077995783E-4
3.959158158E-1,-9.950394742E-4
4.167534903E-1,-8.842079551E-4
4.375911648E-1,-1.066901721E-3
4.584288393E-1,-8.232139517E-4
4.792665139E-1,-1.150718890E-3
5.001041884E-1,-8.528515464E-4
5.209418629E-1,-1.045156270E-3
5.417795374E-1,-1.022183918E-3
5.626172119E-1,-8.835124318E-4
5.834548864E-1,-1.087553101E-3
6.042925610E-1,-8.531691274E-4
6.251302355E-1,-1.124093775E-3
6.459679100E-1,-8.116874378E-4
6.668055845E-1,-1.036255620E-3
6.876432590E-1,-9.400564013E-4
7.084809335E-1,-9.345568251E-4
7.293186080E-1,-1.082440140E-3
7.501562826E-1,-8.300833870E-4
7.709939571E-1,-1.143308124E-3
7.918316316E-1,-8.745925734E-4
8.126693061E-1,-1.060470240E-3
8.335069806E-1,-8.953695651E-4
8.543446551E-1,-9.969170205E-4
8.751823297E-1,-1.019456773E-3
8.960200042E-1,-8.710327675E-4
9.168576787E-1,-1.174888806E-3
9.376953532E-1,-8.580527501E-4
9.585330277E-1,-1.186285866E-3
9.793707022E-1,-9.624266531E-4
1.000208377E0,-1.062391559E-3
1.021046051E0,-1.061720308E-3
1.041883726E0,-9.074647678E-4
1.062721400E0,-1.090418198E-3
1.083559075E0,-7.219657418E-4
1.104396749E0,-9.671259904E-4
1.125234424E0,-7.275829557E-4
1.146072098E0,-8.913135389E-4
1.166909773E0,-8.101207204E-4
1.187747447E0,-7.625320577E-4
1.208585122E0,-8.852776955E-4
1.229422796E0,-6.082732580E-4
1.250260471E0,-9.107628139E-4
1.271098145E0,-6.497458671E-4
1.291935820E0,-9.015198448E-4
1.312773494E0,-7.418332389E-4
1.333611169E0,-7.694758242E-4
1.354448844E0,-8.857664070E-4
1.375286518E0,-6.466028281E-4
1.396124193E0,-9.338185191E-4
1.416961867E0,-6.815026281E-4
1.437799542E0,-9.728140431E-4
1.458637216E0,-8.035527426E-4
1.479474891E0,-8.707763627E-4
1.500312565E0,-8.558075642E-4
1.521150240E0,-6.718018558E-4
1.541987914E0,-8.630062221E-4
1.562825589E0,-5.711200647E-4
1.583663263E0,-8.703748463E-4
1.604500938E0,-6.403035950E-4
1.625338612E0,-8.159371791E-4
1.646176287E0,-7.298359415E-4
1.667013961E0,-6.193417357E-4
1.687851636E0,-8.257848094E-4
1.708689310E0,-5.081015406E-4
1.729526985E0,-7.467817049E-4
1.750364659E0,-5.078235408E-4
1.771202334E0,-7.457839092E-4
1.792040008E0,-6.199901691E-4
1.812877683E0,-6.471087690E-4
1.833715357E0,-8.189217187E-4
1.854553032E0,-5.295403535E-4
1.875390706E0,-7.470702403E-4
1.896228381E0,-4.599943641E-4
1.917066055E0,-6.816216046E-4
1.937903730E0,-4.782777978E-4
1.958741404E0,-5.806637928E-4
1.979579079E0,-6.607943214E-4
2.000416753E0,-4.520446819E-4
2.021254428E0,-6.992116105E-4
2.042092103E0,-4.160736280E-4
2.062929777E0,-6.850275677E-4
2.083767452E0,-4.400621983E-4
2.104605126E0,-5.749010015E-4
2.125442801E0,-6.358095561E-4
2.146280475E0,-5.296698655E-4
2.167118150E0,-6.795257796E-4
2.187955824E0,-4.224544391E-4
2.208793499E0,-7.034265436E-4
2.229631173E0,-3.797999525E-4
2.250468848E0,-5.926080048E-4
2.271306522E0,-5.894132773E-4
2.292144197E0,-5.679104943E-4
2.312981871E0,-7.078875788E-4
2.333819546E0,-5.104049924E-4
2.354657220E0,-8.204443147E-4
2.375494895E0,-5.162985181E-4
2.396332569E0,-7.850478869E-4
2.417170244E0,-6.910071825E-4
2.438007918E0,-7.377832080E-4
2.458845593E0,-8.143710438E-4
2.479683267E0,-6.467746571E-4
2.500520942E0,-8.803950623E-4
2.521358616E0,-5.145519972E-4
2.542196291E0,-7.809804520E-4
2.563033965E0,-5.663463962E-4
2.583871640E0,-7.014700095E-4
2.604709314E0,-7.313856040E-4
2.625546989E0,-6.150660920E-4
2.646384663E0,-9.115102002E-4
2.667222338E0,-6.017709966E-4
2.688060013E0,-9.053386748E-4
2.708897687E0,-6.747388397E-4
2.729735362E0,-7.541959640E-4
2.750573036E0,-6.717947545E-4
2.771410711E0,-6.345809088E-4
2.792248385E0,-7.809082745E-4
2.813086060E0,-4.990360467E-4
2.833923734E0,-7.819579914E-4
2.854761409E0,-4.978503566E-4
2.875599083E0,-7.502133958E-4
2.896436758E0,-6.181123899E-4
2.917274432E0,-6.738369702E-4
2.938112107E0,-8.204779006E-4
2.958949781E0,-5.409250734E-4
2.979787456E0,-8.314384613E-4
3.000625130E0,-5.529719056E-4
3.021462805E0,-8.292907150E-4
3.042300479E0,-6.597370957E-4
3.063138154E0,-7.014569710E-4
3.083975828E0,-6.758257514E-4
3.104813503E0,-4.589213058E-4
3.125651177E0,-7.027635002E-4
3.146488852E0,-3.844772000E-4
3.167326526E0,-6.547359517E-4
3.188164201E0,-4.149766755E-4
3.209001875E0,-5.560389836E-4
3.229839550E0,-4.924853565E-4
3.250677224E0,-3.822465951E-4
3.271514899E0,-6.443996099E-4
3.292352573E0,-3.881219600E-4
3.313190248E0,-7.181668188E-4
3.334027922E0,-4.356760182E-4
3.354865597E0,-5.760907661E-4
3.375703272E0,-4.616219085E-4
3.396540946E0,-3.765997535E-4
3.417378621E0,-4.638831888E-4
3.438216295E0,-2.150794462E-4
3.459053970E0,-4.599897657E-4
3.479891644E0,-1.358620066E-4
3.500729319E0,-4.372757685E-4
3.521566993E0,-2.586161136E-4
3.542404668E0,-2.978905686E-4
3.563242342E0,-4.022507928E-4
3.584080017E0,-1.428284158E-4
3.604917691E0,-4.425396910E-4
3.625755366E0,-1.572411566E-4
3.646593040E0,-3.939444432E-4
3.667430715E0,-1.906229882E-4
3.688268389E0,-2.711679263E-4
3.709106064E0,-2.895752550E-4
3.729943738E0,-1.633333013E-4
3.750781413E0,-3.749898169E-4
3.771619087E0,-1.032628861E-4
3.792456762E0,-4.053584416E-4
3.813294436E0,-1.614752546E-4
3.834132111E0,-3.001680598E-4
3.854969785E0,-2.302773792E-4
3.875807460E0,-1.803892374E-4
3.896645134E0,-3.270144807E-4
3.917482809E0,-9.417146794E-5
3.938320483E0,-3.815315431E-4
3.959158158E0,-7.057608309E-5
3.979995832E0,-2.901866392E-4
4.000833507E0,-1.060390350E-4
4.021671181E0,-1.207358509E-4
4.042508856E0,-2.397815551E-4
4.063346531E0,2.795102773E-5
4.084184205E0,-2.419086231E-4
4.105021880E0,3.262916289E-5
4.125859554E0,-2.138538694E-4
4.146697229E0,-4.038942279E-6
4.167534903E0,-1.235840609E-4
4.188372578E0,-1.719870634E-4
4.209210252E0,1.695840911E-5
4.230047927E0,-2.049539180E-4
4.250885601E0,8.452187467E-5
4.271723276E0,-2.080972481E-4
4.292560950E0,5.417240754E-5
4.313398625E0,-1.083252064E-4
4.334236299E0,-5.782091466E-5
4.355073974E0,5.916462396E-5
4.375911648E0,-1.248539338E-4
4.396749323E0,1.958292269E-4
4.417586997E0,-1.192539494E-4
4.438424672E0,1.612229826E-4
4.459262346E0,-3.181409556E-5
4.480100021E0,4.007553798E-6
4.500937695E0,3.748468589E-5
4.521775370E0,-1.072792438E-4
4.542613044E0,7.046130486E-5
4.563450719E0,-2.001763205E-4
4.584288393E0,8.493379573E-5
4.605126068E0,-1.570251625E-4
4.625963742E0,1.211954077E-5
4.646801417E0,-5.265163782E-5
4.667639091E0,-1.052031148E-4
4.688476766E0,1.799372694E-5
4.709314441E0,-2.434050402E-4
4.730152115E0,8.964672452E-5
4.750989790E0,-2.166943159E-4
4.771827464E0,5.004250852E-6
4.792665139E0,-1.177981394E-4
4.813502813E0,-1.307277707E-4
4.834340488E0,-3.568377724E-5
4.855178162E0,-2.215769782E-4
4.876015837E0,7.335082773E-5
4.896853511E0,-2.441873075E-4
4.917691186E0,7.753442333E-5
4.938528860E0,-1.051327417E-4
4.959366535E0,-6.924926129E-5
