relative_time,PitchSensor,DecibelSource
0,,36.987962517904315
24,109.921875,27.12649701627211
91,109.921875,27.56636108245848
157,0.0,25.465426634781313
224,0.0,24.727564493172125
291,0.0,28.33147111912785
357,0.0,26.263403673750425
424,0.0,25.58708570533166
492,0.0,27.291647896927703
557,0.0,22.764618041732444
624,0.0,27.82472624166286
691,0.0,24.74216264076255
757,0.0,24.45604203273598
824,0.0,31.235249809427323
891,0.0,23.856062735983123
957,0.0,26.384892569546373
1024,0.0,25.61101383649056
1091,0.0,23.80211241711606
1157,0.0,27.49736315569061
1224,0.0,24.16640507338281
1292,0.0,32.02488317060094
1357,,57.48596536946324
1424,224.94140625,52.865552638721915
1491,,50.29533928322628
1557,,50.03232122774995
1624,653.984375,48.18080664492204
1691,,50.9237672131014
1757,460.46875,34.87845120111436
1824,534.921875,38.882356732705674
1892,534.921875,37.933013536131156
1957,557.202380952381,26.893088591236204
2024,,51.95816658272872
2092,151.0546875,53.85085880896693
2157,162.734375,52.876069253190934
2224,162.734375,50.53320504794365
2291,,53.05458854778667
2357,425.703125,47.4743511465719
2424,,35.04878459410216
2491,,34.07560849486363
2557,546.09375,29.38519725176492
2624,0.0,27.109631189952758
2692,0.0,26.063813651106052
2758,0.0,34.69822015978163
2824,0.0,48.33612405847923
2892,,45.95474175860854
2957,160.078125,36.302244107524324
3024,,27.82472624166286
3091,,24.36162647040756
3157,0.0,23.69215857410143
3224,0.0,24.082399653118497
3291,0.0,24.969296480732147
3358,0.0,22.96665190261531
3424,0.0,24.099331233312945
3491,0.0,23.61727836017593
3558,0.0,49.36970918404798
3624,,46.59497859540902
3692,112.71484375,44.74769709615869
3758,112.71484375,44.30268605795908
3824,110.75737847222223,31.920095926536703
3891,116.30208333333334,44.72171146692364
3958,,30.374264979406238
4024,,25.7978359661681
4091,0.0,46.30783708295158
4159,,41.99480914862356
4224,106.69596354166666,37.2956972630197
4292,103.75,32.121876044039574
4359,103.75,45.03695372869997
4424,,45.33123563378423
4491,103.876953125,47.19853121294242
4557,,36.39386869017684
4624,,45.28736777724652
4691,215.078125,45.27217318503861
4757,,42.36738743506645
4824,92.28515625,47.790478661287736
4891,92.28515625,46.1623388022161
4971,87.91257440476191,35.68553712049442
5024,96.10838293650795,32.530955858490316
5091,85.63709077380952,30.50379756261458
5157,57.0,45.68917133510204
5224,57.0,36.13841821876069
5291,,37.63727403765699
5357,96.29166666666667,43.090976174120144
5424,94.72032335069444,41.26521025543412
5491,92.5927734375,37.18501688867274
5557,92.5927734375,46.0580048418724
5624,,44.67415700848101
5691,90.71487032312925,43.987903927521394
5757,,35.64547711755948
5824,,30.644579892269185
5891,179.84375,29.35003151453655
5957,0.0,26.748611407378114
6024,0.0,28.356905714924252
6091,,46.666770679262655
6157,,42.74550384909531
6224,180.24553571428572,40.72360203963488
6291,179.609375,41.381447441794876
6357,,42.0441845752325
6424,87.48102678571428,33.97070549959408
6491,87.48102678571428,40.77876404359281
6557,94.13932291666667,41.29625452035683
6624,91.95765904017857,37.83331762887424
6691,91.298828125,27.18501688867274
6757,91.298828125,30.55378331375
6824,,40.46221937221637
6891,120.24776785714286,40.11358953706611
6957,84.11458333333333,39.29521100631104
7024,84.11458333333333,40.38262407104784
7091,68.50725446428572,40.908573959815335
7157,,37.132384615456616
7224,111.134765625,42.814878879400815
7291,115.078125,40.981936258632885
7357,115.078125,40.9377178149873
7424,117.28820903361344,44.815859363676225
7491,130.9375,35.35926741395569
7557,130.390625,33.203540328176715
7624,140.29296875,43.46704962433086
7691,140.29296875,38.13247300897605
7757,146.015625,46.043772735885625
7824,164.70052083333334,45.245129569201055
7891,168.59375,34.41538038702161
7957,168.59375,32.08978517276253
8024,166.60807291666669,28.937617620579434
8091,0.0,29.304395947667
8157,0.0,29.42008053022313
8224,0.0,29.37016107464814
8291,0.0,25.327543789924974
8357,0.0,22.810333672477277
8424,0.0,20.934216851622352
8491,0.0,22.30448921378274
8557,0.0,21.46128035678238
8624,0.0,17.993405494535818
8691,0.0,22.380461031287954
8757,0.0,20.0
8824,0.0,21.818435879447726
8891,0.0,21.072099696478684
8957,0.0,19.777236052888476
9024,0.0,19.084850188786497
9091,0.0,19.54242509439325
9157,0.0,23.09630167425899
9224,0.0,25.965970956264602
9291,0.0,43.06167591572845
9357,,54.44867301422296
9424,193.57700892857144,54.92605355932497
9491,193.57700892857144,42.47187390586354
9557,,48.694898721419676
9624,124.13678075396827,50.23524066019769
9691,113.22751736111111,50.34512147977806
9757,106.8020982142857,48.94604019661542
9824,106.8020982142857,46.45874015001102
9891,103.74255952380953,45.910868779673464
9972,107.98828125,46.69223873930805
10024,111.90972222222223,48.62727528317975
10091,111.90972222222223,52.90110327902215
10157,101.94921875,49.704584579072126
10224,,45.76341350205793
10291,110.97005208333334,34.26673888021373
10357,107.03125,42.6030994579492
10424,107.03125,33.70883016777606
10491,108.515625,44.35223046211029
10557,100.36334325396825,46.67826378950711
10624,95.66936383928571,45.23811476089719
10691,94.99755859375,42.42143722701083
10757,94.99755859375,35.08933526050033
10824,96.8203125,46.58526517459542
10891,115.2165798611111,45.417040232842886
10957,100.54571242559524,37.96157876906915
11024,100.54571242559524,42.52003020538459
11091,92.67403738839286,32.626883443016965
11157,102.74500093005952,32.929202996000065
11224,,41.063269118219665
11291,96.59505208333334,33.6660971039243
11357,96.59505208333334,30.534626049254552
11424,0.0,29.09020854211156
11491,,47.707931202620415
11557,97.79881599378884,45.15436681141699
11624,97.79881599378884,44.958217533859056
11691,96.3330078125,28.182258936139554
11757,93.75,32.89811839117621
11824,,31.40193678578631
11891,0.0,28.813846567705728
11957,0.0,35.13084360465144
12024,,45.231739651646436
12091,97.14896647135417,46.44586283562751
12157,95.66753472222221,48.09478908144775
12224,95.66753472222221,44.21340638300443
12291,94.12760416666666,31.798389280231866
12358,107.1875,33.04705898212765
12424,,32.66936911159173
12491,50.12451171875,32.85107029566812
