"event","experiment time","system time","system time text"
"START",0.000000000E0,1717599041.919,"2024-06-05 16:50:41.919 UTC+02:00"
"PAUSE",1.606074004E2,1717599202.526,"2024-06-05 16:53:22.526 UTC+02:00"
