"event","experiment time","system time","system time text"
"START",0.000000000E0,1717583069.349,"2024-06-05 12:24:29.349 UTC+02:00"
"PAUSE",3.275207785E1,1717583102.101,"2024-06-05 12:25:02.101 UTC+02:00"
