"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717595041116147E9,"2024-06-05 15:44:01.116 UTC+02:00"
"PAUSE",2.363179521665443E2,1.717595277430553E9,"2024-06-05 15:47:57.431 UTC+02:00"
