relative_time,PitchSensor,DecibelSource
0,,41.54149979881548
42,0.0,45.54186199069382
109,0.0,34.35047641339965
176,0.0,40.08088936291578
242,,38.121777741587536
309,34.7412109375,33.40642377560705
376,,39.84482306402263
442,,36.53405490664501
509,32.5,39.24227581260118
576,,36.605809124272994
642,236.328125,47.120938531249045
709,236.328125,42.7792994664692
776,242.1875,42.86860485522374
842,264.6079799107143,40.179927377664335
909,,30.182843084265308
976,218.97786458333331,45.506563197784466
1042,218.97786458333331,42.80077322611945
1109,216.52994791666669,30.453229787866576
1176,108.28125,43.72101545647631
1242,,52.48475971737116
1309,,40.780578669791865
1376,619.765625,27.686381012476144
1442,,44.50864692379766
1509,207.96875,40.044933375472745
1576,194.765625,41.42921057515615
1642,194.765625,44.88860816107981
1709,195.15625,40.90645957573315
1776,97.6484375,41.082266563749286
1842,,46.449798891017835
1909,,45.12804424172821
1976,175.75032552083334,45.67473376960255
2042,167.52511160714286,43.25597752860019
2109,170.853515625,40.90892625710363
2176,162.70982142857144,47.58927024346265
2242,162.70982142857144,47.536749633439754
2309,161.7798514660494,48.98801944031733
2376,164.03645833333334,37.97267540830716
2442,172.65625,45.5294792358539
2509,,42.67617531686773
2576,,45.503139801449066
2642,165.44921875,33.18480725174518
2709,,31.32899769944483
2776,173.515625,42.12879792163402
2842,173.515625,34.73924693416157
2909,165.89739583333332,30.224283711854866
2976,163.2421875,40.55760464687735
3042,156.7578125,30.24074987307426
3109,213.93229166666669,37.301360039966774
3176,213.93229166666669,41.03016490328315
3242,155.50028935185185,35.68788212315347
3309,154.62673611111111,39.351040211514494
3376,149.86979166666669,35.69724949226159
3442,149.86979166666669,30.827853703164504
3509,157.109375,36.016254795539446
3576,,37.87743771646467
3642,149.3515625,35.18908573691414
3709,151.36197916666669,33.06853748693009
3776,151.36197916666669,23.820170425748685
3842,0.0,26.08526033577194
3909,,49.95472852179851
3976,224.75998263888889,49.38254464373869
4042,224.75998263888889,49.66550012334124
4109,220.00837053571428,48.58428911208254
4176,208.92415364583334,48.38288552212334
4242,186.2640625,39.65060520611198
4309,93.94252232142857,43.52915374553853
4376,93.94252232142857,33.3645973384853
4442,,35.268559871258745
4509,215.37760416666666,48.3768311421203
4576,297.71205357142856,47.18493384878098
4642,179.921875,39.63173716375252
4709,179.921875,34.36798510231804
4776,,30.20775488193558
4842,189.70271915584416,46.3213322204048
4909,184.73603002899878,48.137410676271
4979,184.73603002899878,45.928426831311
5042,,38.97627091290441
5109,159.19921875,32.40299582002712
5176,152.30794270833331,32.80578370368077
5242,,49.015237058564125
5309,,37.56560043006683
5376,175.02604166666666,48.76050327705097
5442,179.169921875,44.25485310708032
5509,172.2509765625,36.04873770552636
5576,172.2509765625,30.310042813635366
5642,,41.546065392836226
5709,160.19856770833334,39.011857801371505
5776,151.66015625,35.666731376061165
5842,,39.01621764093357
5909,,39.5875494986909
5976,146.15234375,35.765716840652914
6042,,26.99837725867246
6109,0.0,21.4921911265538
6176,0.0,17.075701760979364
6242,0.0,16.812412373755873
6309,0.0,30.930713063760635
6376,0.0,27.831886910752573
6442,,29.425041061680805
6509,,31.580607939366054
6576,0.0,26.963563887333322
6642,0.0,22.20108088040055
6709,,51.00018831014432
6776,267.8486111111111,50.853940543157805
6842,267.8486111111111,50.92506601935827
6909,264.9388020833333,52.621685877958186
6976,240.24720982142856,49.064427938170326
7042,241.1373181216931,51.839158210410844
7109,241.1373181216931,48.73547282737765
7176,205.8203125,40.778037980760885
7242,,48.970825075405955
7309,199.42057291666666,41.459418695761215
7376,198.45052083333331,49.16180125116999
7442,198.45052083333331,49.12089143147475
7509,189.51171875,49.77133478341756
7576,178.84765625,43.586010159430195
7642,148.84765625,44.6226319593422
7709,148.84765625,37.816835845073506
7776,185.859375,40.748529958812476
7842,,41.28173014749728
7909,36.69921875,41.37702167146962
7976,,50.26533264523296
8042,,51.0271833941742
8109,221.66015625,38.03661923236224
8176,218.75,47.2181885601637
8242,203.77604166666669,40.6707085604537
8309,203.77604166666669,41.961208925983804
8376,,35.42202782434028
8442,86.0390625,35.49248556854056
8509,,48.44023383707444
8576,197.568359375,41.68733128934079
8642,197.568359375,25.95496221825574
8709,296.0791015625,43.31609479764093
8776,185.46875,41.720188094245565
8842,178.046875,37.99409479615127
8909,172.53580729166669,47.20250288908779
8976,172.53580729166669,37.15919817433579
9042,171.18489583333331,38.56970433482492
9109,,37.0104963072914
9176,173.69140625,41.30944568044679
9242,173.69140625,45.441548945619246
9309,160.3076636904762,46.146968884017035
9376,153.89518229166669,40.696311026203425
9442,154.88715277777777,39.24279286061881
9509,152.68229166666669,34.35844365984441
9576,152.68229166666669,38.850217948622976
9642,151.69270833333331,39.445320209919814
9709,,35.51571973674254
9776,215.78125,26.848453616444125
9842,215.78125,32.98197867109815
9909,161.171875,36.264430253312945
9981,179.53125,34.10439786210347
10042,,22.624510897304294
10109,0.0,22.988530764097067
10176,0.0,25.171958979499745
10242,0.0,23.283796034387375
10309,0.0,30.895518828864542
10376,0.0,26.17000341120899
10442,0.0,23.22219294733919
10509,0.0,21.84691430817599
10576,0.0,42.8941056088599
10642,,49.50710399701042
10709,259.07552083333337,42.38196699379014
10776,259.07552083333337,47.49187304853726
10842,239.1015625,52.864295219937716
10909,,52.73822758853814
10976,210.078125,37.296506683359205
11042,,46.682740667992064
11109,,51.54220016819215
11176,211.09375,36.80154141734373
11242,283.515625,41.78142069837744
11309,286.09375,37.18086294783092
11376,286.09375,25.74031267727719
11442,0.0,48.35405174794401
11509,,47.80137219049492
11576,205.06510416666666,44.190631244925484
11643,188.4375,46.18361931109878
11709,188.4375,36.92141609366784
11776,197.34375,41.91003634067977
11842,165.83984375,43.25413029667313
11909,170.98958333333331,34.893959217271295
11976,170.98958333333331,33.54108439147401
12042,0.0,43.371996053735806
12109,,40.723969665217616
12176,179.765625,48.299659689377364
12242,114.4766865079365,45.84319914468133
12309,114.4766865079365,29.527924430440923
12376,0.0,40.02986340856785
12442,,24.377505628203878
12509,0.0,23.69215857410143
12576,0.0,46.22120727735252
12642,,47.12557109600561
12709,84.51450892857143,45.305710597370165
12776,,42.23911086872275
12843,157.8623046875,42.95940762267199
12909,157.8623046875,34.837298990000235
12976,161.69162326388889,26.884198220027105
13043,164.0625,30.927206446840994
13110,163.046875,40.40048241547461
13176,84.22433035714286,36.23352681537992
13243,84.22433035714286,39.483640559883696
13309,,26.35483746814912
13376,0.0,33.50829273582968
13443,,29.642596301968492
13509,,39.968180218795155
13576,150.80078125,25.514499979728754
13642,0.0,28.90421018800914
13709,,35.42327382773975
13776,152.5857142857143,31.316186643491257
13842,152.5857142857143,32.41795431295199
13909,,35.98352709869284
13976,666.5625,40.29586671630457
14042,536.71875,37.6737852411418
14109,536.71875,25.7978359661681
14176,0.0,23.76576957056512
14242,0.0,20.253058652647702
14309,0.0,21.303337684950062
14376,0.0,23.891660843645326
14442,0.0,21.875207208364632
14509,0.0,28.41984804590114
14576,0.0,29.97386384397313
14642,0.0,26.384892569546373
14709,0.0,38.59018143888894
14776,,29.712758487381056
14842,38.173828125,29.309490311675233
14909,,50.412386807213316
14983,243.59375,50.11460481707363
15042,243.59375,51.786978737748925
15109,256.25,49.068197154665455
15176,,41.69292274879936
15242,179.21875,29.59994838328416
15309,,48.53138255811964
15376,,45.986920409331375
15442,757.1875,37.96088428680668
15509,,33.43408593803857
15576,161.875,38.17102404256923
15642,161.875,37.19414159702593
15709,175.78125,20.043213737826427
15776,0.0,26.910814921229687
15842,0.0,26.074550232146688
15909,0.0,24.487063199050798
15976,0.0,25.575072019056577
16042,0.0,27.48962861256161
16109,,42.53168325901442
16176,130.416015625,46.35443532501082
16242,130.416015625,39.70300375402178
16309,150.046875,34.676081055836335
16376,,37.39888655084543
16442,492.421875,35.49371152333177
16509,459.53125,33.27154512409432
16576,459.53125,25.31478917042255
16642,0.0,21.4921911265538
16709,0.0,20.5307844348342
16776,0.0,21.172712956557646
16842,0.0,22.576785748691847
16909,0.0,19.86771734266245
16976,0.0,18.512583487190753
17042,0.0,17.708520116421443
17109,0.0,21.958996524092335
17176,0.0,16.334684555795864
17242,0.0,22.85557309007774
17309,0.0,24.548448600085102
17376,0.0,22.944662261615928
17442,0.0,18.45098040014257
17509,0.0,17.708520116421443
17576,,48.82194280305653
17642,215.15625,32.990712600274094
17709,222.65625,37.08930535806616
17776,222.65625,39.28242183157309
17842,308.125,58.619398418505185
17909,275.41480654761904,35.29173603261723
17976,,40.00650953629595
18042,249.921875,47.416951119545146
18109,249.921875,49.4797257924578
18176,228.80989583333331,48.13320734186294
18242,,35.415792439465804
18309,760.78125,54.28280614707177
18376,760.78125,52.686481646716025
18442,,48.27420971700622
18509,176.62109375,37.13658516208356
18576,183.046875,31.78401341533755
18642,211.46484375,49.39908445645371
18709,211.46484375,51.66163593747834
18776,,44.31524584187451
18842,242.265625,43.956059293132306
18909,199.140625,34.78854967528663
18976,199.140625,25.4282542695918
19042,105.15494791666666,54.137288161188934
19109,,39.75615597966895
19176,215.95052083333331,29.556877503135055
19242,,42.81646857867514
19309,,34.379090355394986
19376,367.546875,49.14184433423246
19442,184.1806640625,48.49493120890998
19509,168.86458333333334,29.717395908877783
19576,168.86458333333334,36.377898293622295
19642,166.72916666666666,52.16709420174179
19709,193.78819444444443,49.797440817830854
19776,,33.998467127129224
19842,193.15755208333331,37.62678563727436
19909,193.15755208333331,49.89730060757388
19982,,35.23095838252568
20042,160.66569010416669,24.471580313422194
20109,0.0,43.56255379517801
20176,,37.596678446896306
20242,,35.040628826786914
20309,334.82421875,33.170181010481116
20376,,29.185545305502735
20442,164.52473958333331,42.16667229548209
20509,164.52473958333331,34.01400540781544
20576,159.27604166666669,39.46304854993475
20642,161.38532366071428,39.84302231979903
20709,159.13975694444443,37.611758131557316
20776,,34.78854967528663
20842,,34.494783991873646
20909,243.75,27.267272090265724
20976,0.0,22.71841606536499
21042,0.0,27.25094521081469
21109,0.0,28.325089127062363
21176,0.0,26.464037262230697
21242,0.0,23.76576957056512
21309,0.0,15.910646070264994
21376,,51.42035753842818
21442,,53.15936775503906
21509,208.007387329932,42.913910530784065
21576,234.921875,54.27375736234778
21642,,39.05741927391601
21709,268.828125,33.26745379565322
21776,268.828125,46.55963962223127
21842,211.71875,47.07408349968527
