"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717602540483196E9,"2024-06-05 17:49:00.483 UTC+02:00"
"PAUSE",1.021877657501027E2,1.717602642670491E9,"2024-06-05 17:50:42.670 UTC+02:00"
