relative_time,DecibelSource,PitchSensor
0,28.41984804590114,0.0
15,29.527924430440923,0.0
82,25.774917998372256,0.0
148,27.528164311882716,0.0
215,28.50033257689769,0.0
282,25.440680443502757,0.0
348,25.07855871695831,0.0
415,24.668676203541096,0.0
482,24.39332693830263,0.0
548,22.04119982655925,0.0
615,24.04833716619938,0.0
682,20.969100130080562,0.0
748,23.74748346010104,0.0
815,24.82873583608754,0.0
882,21.398790864012366,0.0
948,22.09515014542631,0.0
1015,26.45422269349092,0.0
1082,21.072099696478684,0.0
1148,24.517864355242903,0.0
1215,35.08664363052943,0.0
1282,37.07229419327294,
1348,47.54378918752607,48.09375
1415,53.077184766338625,
1482,49.86014416953327,
1548,47.13843211627851,397.6171875
1615,48.425780391736154,433.59375
1682,44.19873175149476,
1748,41.80785134973439,
1815,43.49024844207767,104.39397321428572
1882,43.34574371754929,142.6171875
1949,35.964871337365445,
2015,28.992731873176037,106.40625
2082,38.61295393526696,106.40625
2149,38.1424759573192,
2215,34.70410490975931,455.078125
2282,28.779469516291883,289.12109375
2349,43.07966447028274,289.12109375
2415,40.3148925570975,
2482,33.96896449142524,110.625
2549,45.413170905843046,148.5546875
2615,42.77196495795956,160.84635416666669
2682,45.94801235778385,160.84635416666669
2749,40.189500215009744,180.3515625
2815,42.11093831058963,160.703125
2882,39.438406264012606,126.20535714285714
2949,36.25723909525756,126.20535714285714
3015,35.589484459780394,81.68289620535714
3082,35.494937132150135,89.64827473958333
3150,29.180303367848804,
3215,27.067177823367587,0.0
3282,26.25312450961674,0.0
3349,22.944662261615928,0.0
3415,23.404441148401183,0.0
3482,22.96665190261531,0.0
3549,35.848963441374494,0.0
3615,38.265283063406514,0.0
3682,43.693643087812355,
3749,44.14237765486717,150.51432291666669
3815,41.960102865919495,130.703125
3882,42.68414144576543,130.703125
3949,44.063698354692676,120.24739583333334
4015,41.05067148810123,129.53125
4082,41.06666761969916,100.390625
4149,38.85191540606848,124.4921875
4215,31.693804953119496,124.4921875
4282,31.67317334748176,103.984375
4349,33.447851226326605,120.08463541666666
4415,43.55643050220869,123.515625
4482,32.21935599828005,123.515625
4549,41.348462089247704,113.97395833333333
4615,35.92398846115564,94.294921875
4682,37.777891874348676,
4749,35.71242850560224,100.625
4816,41.571544399062816,100.625
4882,35.56061159009533,
4958,37.57016234731301,73.24739583333333
5016,39.463539972262744,
5082,36.44044492814749,
5149,38.820689444361484,109.85026041666666
5216,30.350292822023683,
5282,42.69793043861229,107.42838541666666
5349,40.511525224473814,100.8420138888889
5417,42.66654962773224,100.8420138888889
5482,38.24321124850771,109.27734375
5549,38.048887446223915,103.28125
5615,30.043213737826427,
5682,30.895518828864542,0.0
5749,26.074550232146688,0.0
5815,27.723217067229196,0.0
5882,29.319661147281728,0.0
5950,28.93206753059848,0.0
6015,26.794278966121187,0.0
6082,28.241258339165487,0.0
6150,26.766936096248667,0.0
6215,24.563660331290432,0.0
6282,26.693168805661124,0.0
6349,26.766936096248667,0.0
6415,37.21728198572788,0.0
6482,39.90250032927817,
6549,31.64352855784437,299.9296875
6615,26.67452952889954,299.9296875
6682,25.185139398778876,0.0
6749,46.629937971760526,
6815,39.252605095194355,328.125
6882,39.62937288430002,328.125
6949,44.59904894119978,
7015,43.5928515389347,106.5421875
7082,47.60392323036943,101.89095052083333
7149,47.576844503124306,61.990792410714285
7216,44.182681378038005,61.990792410714285
7282,44.5058778752556,
7349,50.43232559845933,208.828125
7415,40.182010224962916,114.79166666666666
7482,49.468892872377566,143.09895833333331
7549,39.63504499414291,143.09895833333331
7615,43.381774992965354,164.453125
7682,34.94988973683168,128.90625
7749,31.442627737619908,101.22265625
7815,45.59763032876794,101.22265625
7882,43.12494707189671,
7949,44.51371893184245,170.48958333333334
8015,40.00997730357794,
8082,39.61942883141387,65.1953125
8149,41.62743583235415,65.1953125
8215,35.25304009958239,
8282,46.165070214142006,481.25
8349,50.451077344964624,
8415,40.69112851387121,160.53385416666669
8482,33.81115080709851,160.53385416666669
8549,31.649473726218417,
8615,43.54319769991452,285.5078125
8682,36.27673031766616,
8749,42.8553480612003,
8815,33.3665982345442,119.0078125
8882,27.47411807886423,132.265625
8949,46.836413085574705,
9015,43.72101545647631,93.5120597718254
9082,32.90924559382754,93.5120597718254
9149,45.29828018849261,
9215,40.371076326679265,68.59933035714286
9282,36.44044492814749,101.796875
9349,34.13969971748061,101.796875
9415,37.485756169309916,103.828125
9482,47.729668002587104,93.95572916666666
9549,41.93041072153242,
9615,45.93175263478103,105.546875
9682,47.500375897794946,105.546875
9749,39.63929422026558,102.66823743386243
9815,32.730012720637376,99.90208333333334
9882,30.692980121155294,105.390625
9963,41.48695179285065,99.60053943452381
10015,39.03415585769086,99.60053943452381
10082,32.49931756634195,98.84994264632938
10149,28.555191556678,
10215,28.773713458697742,0.0
10282,30.406023401140732,0.0
10350,26.294095991027188,0.0
10415,26.560982020128318,0.0
10482,28.23474229170301,0.0
10549,27.16003343634799,0.0
10615,48.02479536496779,0.0
10682,44.551038356266986,
10749,38.80699289218701,118.75260416666667
10815,35.177235948337355,
10882,44.819726315639585,
10950,44.385739902186344,120.05859375
11015,44.0925665203891,121.046875
11082,37.854010249923874,113.359375
11150,31.386184338994923,
11215,36.317480743965696,
11282,46.36728547162203,105.46875
11350,42.281179241368456,108.15569196428571
11415,37.58987546867619,114.28854166666667
11482,47.76599497791458,114.28854166666667
11549,43.83779472391262,154.71400669642856
11615,33.00378064870703,109.23828125
11682,41.17668940562442,123.767578125
11749,38.93428841779545,81.94270833333333
11815,36.23559390005437,81.94270833333333
11882,32.19584526214255,78.11063058035714
11951,26.910814921229687,0.0
12015,26.148972160331347,0.0
12082,26.848453616444125,0.0
12149,26.711728427150835,0.0
12215,26.702458530741243,0.0
12282,24.983105537896005,0.0
12350,25.82063362911709,0.0
12415,25.4282542695918,0.0
12482,23.856062735983123,0.0
12550,27.41939077729199,0.0
12615,37.83045572114693,0.0
12682,45.91265004391542,
12749,40.21230658479703,
12815,51.01540872558349,128.20529513888889
12882,48.04677705595455,170.0830078125
12950,41.072438975789744,180.56640625
13015,48.64671242109896,180.56640625
13082,48.51007486508816,200.25390625
13149,45.82722262824919,182.79296875
13215,43.090976174120144,129.53125
13282,36.34578022853888,107.455078125
13350,51.64165414296824,107.455078125
13415,50.73043478709489,157.50151909722223
13482,40.50186349675361,161.2109375
13550,48.73122885967887,
13615,45.989873714740895,
13682,37.5350645699097,530.15625
13750,38.51991747962157,
13815,36.986224297020975,519.84375
13883,45.74297553357371,
13951,44.92536900288133,
14015,43.580300765769564,112.3828125
14083,41.53875813678978,
14151,39.24899264014284,98.2078125
14216,35.976951859255124,
14282,41.47521743537597,
14350,41.446987186431244,110.29947916666666
14416,38.86095732437747,107.53385416666667
14483,29.890046156985367,108.75
14550,38.44849800806639,108.75
14616,40.9631897051261,78.513671875
14682,38.77140889784821,102.822265625
14750,35.82290682718994,98.81510416666666
14816,39.91048776452676,95.5
14882,35.37441283407948,95.5
14955,33.75297738217339,
15015,29.62369335670021,95.69986979166666
15082,38.62429556106009,74.1796875
15150,35.84104970399453,74.1796875
15217,26.972293427597176,105.78125
15282,34.940153747571436,
15350,29.745116927373285,90.77213541666667
15417,27.18501688867274,0.0
15482,36.20448384711709,0.0
15550,32.92477593667784,
15615,32.74388795550379,79.53515625
15683,24.885507165004444,0.0
15750,26.424645202421214,0.0
15816,25.538830266438744,0.0
15883,27.664128471123995,0.0
15950,27.084209001347126,0.0
16016,23.117538610557542,0.0
16083,24.16640507338281,0.0
16150,25.403294747908735,0.0
16216,33.694014136966246,0.0
16283,46.25435929467525,
16350,45.243312002886526,178.30729166666669
16417,48.63418037522087,178.30729166666669
16483,39.99565488225982,170.78125
16550,43.151513377049824,161.71875
16616,46.850516922326335,155.234375
16682,37.66635886310267,155.234375
16752,41.479235389806064,161.015625
16815,34.260230156898764,159.84375
16882,46.34507498423002,
16951,45.505340865995066,488.359375
17015,39.51531790542348,488.359375
17082,41.577890862820496,
17149,42.64841425329148,467.578125
17215,34.98999363580153,
17282,38.83320678382975,
17349,31.71433900943008,488.61328125
17415,31.112625136590655,
17482,35.436956323092446,122.265625
17549,43.941363526418876,80.37630208333334
17615,38.8303651002768,80.37630208333334
17682,39.93480319069997,101.5625
