"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717582618960221E9,"2024-06-05 12:16:58.960 UTC+02:00"
"PAUSE",4.017724991682917E1,1.717582659137001E9,"2024-06-05 12:17:39.137 UTC+02:00"
