Delay (ms),Autocorrelation (a.u.),sensor,language,tone,participant,script
1.958741404,-4.889740368e-09,autocorrelations,en,bus,duru,t1
1.979579079,-5.745894091e-09,autocorrelations,en,bus,duru,t1
2.000416753,-6.604589661e-09,autocorrelations,en,bus,duru,t1
2.021254428,-7.638310514e-09,autocorrelations,en,bus,duru,t1
2.042092103,-8.880047849e-09,autocorrelations,en,bus,duru,t1
2.062929777,-9.701524458e-09,autocorrelations,en,bus,duru,t1
2.083767452,-1.062004966e-08,autocorrelations,en,bus,duru,t1
2.104605126,-1.144799388e-08,autocorrelations,en,bus,duru,t1
2.125442801,-1.234488095e-08,autocorrelations,en,bus,duru,t1
2.146280475,-1.364485721e-08,autocorrelations,en,bus,duru,t1
2.16711815,-1.436132728e-08,autocorrelations,en,bus,duru,t1
2.187955824,-1.521061023e-08,autocorrelations,en,bus,duru,t1
2.208793499,-1.584220571e-08,autocorrelations,en,bus,duru,t1
2.229631173,-1.662012905e-08,autocorrelations,en,bus,duru,t1
2.250468848,-1.744661744e-08,autocorrelations,en,bus,duru,t1
2.271306522,-1.79865767e-08,autocorrelations,en,bus,duru,t1
2.292144197,-1.832739567e-08,autocorrelations,en,bus,duru,t1
2.312981871,-1.971269657e-08,autocorrelations,en,bus,duru,t1
2.333819546,-2.048989129e-08,autocorrelations,en,bus,duru,t1
2.35465722,-2.12771541e-08,autocorrelations,en,bus,duru,t1
2.375494895,-2.17109855e-08,autocorrelations,en,bus,duru,t1
2.396332569,-2.243702192e-08,autocorrelations,en,bus,duru,t1
2.417170244,-2.314050282e-08,autocorrelations,en,bus,duru,t1
2.438007918,-2.378780421e-08,autocorrelations,en,bus,duru,t1
2.458845593,-2.419887153e-08,autocorrelations,en,bus,duru,t1
2.479683267,-2.496266812e-08,autocorrelations,en,bus,duru,t1
2.500520942,-2.544779235e-08,autocorrelations,en,bus,duru,t1
2.521358616,-2.583957369e-08,autocorrelations,en,bus,duru,t1
2.542196291,-2.651979853e-08,autocorrelations,en,bus,duru,t1
2.563033965,-2.724830414e-08,autocorrelations,en,bus,duru,t1
2.58387164,-2.739653852e-08,autocorrelations,en,bus,duru,t1
2.604709314,-2.801996023e-08,autocorrelations,en,bus,duru,t1
2.625546989,-2.844538898e-08,autocorrelations,en,bus,duru,t1
2.646384663,-2.931962107e-08,autocorrelations,en,bus,duru,t1
2.667222338,-2.961314749e-08,autocorrelations,en,bus,duru,t1
2.688060013,-2.978756797e-08,autocorrelations,en,bus,duru,t1
2.708897687,-3.02763596e-08,autocorrelations,en,bus,duru,t1
2.729735362,-3.082081309e-08,autocorrelations,en,bus,duru,t1
2.750573036,-3.128808914e-08,autocorrelations,en,bus,duru,t1
2.771410711,-3.165479024e-08,autocorrelations,en,bus,duru,t1
2.792248385,-3.191466418e-08,autocorrelations,en,bus,duru,t1
2.81308606,-3.218323408e-08,autocorrelations,en,bus,duru,t1
2.833923734,-3.271470227e-08,autocorrelations,en,bus,duru,t1
2.854761409,-3.322882251e-08,autocorrelations,en,bus,duru,t1
2.875599083,-3.343412084e-08,autocorrelations,en,bus,duru,t1
2.896436758,-3.366847997e-08,autocorrelations,en,bus,duru,t1
2.917274432,-3.403804141e-08,autocorrelations,en,bus,duru,t1
2.938112107,-3.473179538e-08,autocorrelations,en,bus,duru,t1
2.958949781,-3.495758672e-08,autocorrelations,en,bus,duru,t1
2.979787456,-3.537585903e-08,autocorrelations,en,bus,duru,t1
3.00062513,-3.589412415e-08,autocorrelations,en,bus,duru,t1
3.021462805,-3.630617507e-08,autocorrelations,en,bus,duru,t1
3.042300479,-3.671620184e-08,autocorrelations,en,bus,duru,t1
3.063138154,-3.720346463e-08,autocorrelations,en,bus,duru,t1
3.083975828,-3.746191003e-08,autocorrelations,en,bus,duru,t1
3.104813503,-3.782879714e-08,autocorrelations,en,bus,duru,t1
3.125651177,-3.811652942e-08,autocorrelations,en,bus,duru,t1
3.146488852,-3.867602959e-08,autocorrelations,en,bus,duru,t1
3.167326526,-3.888552268e-08,autocorrelations,en,bus,duru,t1
3.188164201,-3.903518223e-08,autocorrelations,en,bus,duru,t1
3.209001875,-3.921016377e-08,autocorrelations,en,bus,duru,t1
3.22983955,-3.99285757e-08,autocorrelations,en,bus,duru,t1
3.250677224,-4.00147838e-08,autocorrelations,en,bus,duru,t1
3.271514899,-3.984287436e-08,autocorrelations,en,bus,duru,t1
3.292352573,-4.001115864e-08,autocorrelations,en,bus,duru,t1
3.313190248,-4.017710737e-08,autocorrelations,en,bus,duru,t1
3.334027922,-4.055709096e-08,autocorrelations,en,bus,duru,t1
3.354865597,-4.06379062e-08,autocorrelations,en,bus,duru,t1
3.375703272,-4.031092616e-08,autocorrelations,en,bus,duru,t1
3.396540946,-4.057368958e-08,autocorrelations,en,bus,duru,t1
3.417378621,-4.087332909e-08,autocorrelations,en,bus,duru,t1
3.438216295,-4.118394826e-08,autocorrelations,en,bus,duru,t1
3.45905397,-4.105034365e-08,autocorrelations,en,bus,duru,t1
3.479891644,-4.092874253e-08,autocorrelations,en,bus,duru,t1
3.500729319,-4.112858821e-08,autocorrelations,en,bus,duru,t1
3.521566993,-4.149946042e-08,autocorrelations,en,bus,duru,t1
3.542404668,-4.129741767e-08,autocorrelations,en,bus,duru,t1
3.563242342,-4.181394916e-08,autocorrelations,en,bus,duru,t1
3.584080017,-4.160564873e-08,autocorrelations,en,bus,duru,t1
3.604917691,-4.185517026e-08,autocorrelations,en,bus,duru,t1
3.625755366,-4.186421807e-08,autocorrelations,en,bus,duru,t1
3.64659304,-4.22862736e-08,autocorrelations,en,bus,duru,t1
3.667430715,-4.223761371e-08,autocorrelations,en,bus,duru,t1
3.688268389,-4.219658803e-08,autocorrelations,en,bus,duru,t1
3.709106064,-4.214083527e-08,autocorrelations,en,bus,duru,t1
3.729943738,-4.282854441e-08,autocorrelations,en,bus,duru,t1
3.750781413,-4.263562493e-08,autocorrelations,en,bus,duru,t1
3.771619087,-4.275998536e-08,autocorrelations,en,bus,duru,t1
3.792456762,-4.293300266e-08,autocorrelations,en,bus,duru,t1
3.813294436,-4.330417999e-08,autocorrelations,en,bus,duru,t1
3.834132111,-4.346024058e-08,autocorrelations,en,bus,duru,t1
3.854969785,-4.367226834e-08,autocorrelations,en,bus,duru,t1
3.87580746,-4.367022822e-08,autocorrelations,en,bus,duru,t1
3.896645134,-4.394154745e-08,autocorrelations,en,bus,duru,t1
3.917482809,-4.403649345e-08,autocorrelations,en,bus,duru,t1
3.938320483,-4.424559846e-08,autocorrelations,en,bus,duru,t1
3.959158158,-4.446428924e-08,autocorrelations,en,bus,duru,t1
3.979995832,-4.466973855e-08,autocorrelations,en,bus,duru,t1
4.000833507,-4.47954436e-08,autocorrelations,en,bus,duru,t1
4.021671181,-4.487389924e-08,autocorrelations,en,bus,duru,t1
4.042508856,-4.515034048e-08,autocorrelations,en,bus,duru,t1
4.063346531,-4.564633393e-08,autocorrelations,en,bus,duru,t1
4.084184205,-4.550716399e-08,autocorrelations,en,bus,duru,t1
4.10502188,-4.548953359e-08,autocorrelations,en,bus,duru,t1
4.125859554,-4.573295727e-08,autocorrelations,en,bus,duru,t1
4.146697229,-4.63764636e-08,autocorrelations,en,bus,duru,t1
4.167534903,-4.635313931e-08,autocorrelations,en,bus,duru,t1
4.188372578,-4.635106794e-08,autocorrelations,en,bus,duru,t1
4.209210252,-4.640348149e-08,autocorrelations,en,bus,duru,t1
4.230047927,-4.676304967e-08,autocorrelations,en,bus,duru,t1
4.250885601,-4.680321476e-08,autocorrelations,en,bus,duru,t1
4.271723276,-4.695284548e-08,autocorrelations,en,bus,duru,t1
4.29256095,-4.69509024e-08,autocorrelations,en,bus,duru,t1
4.313398625,-4.726609074e-08,autocorrelations,en,bus,duru,t1
4.334236299,-4.768829942e-08,autocorrelations,en,bus,duru,t1
4.355073974,-4.788065068e-08,autocorrelations,en,bus,duru,t1
4.375911648,-4.791218406e-08,autocorrelations,en,bus,duru,t1
4.396749323,-4.811461233e-08,autocorrelations,en,bus,duru,t1
4.417586997,-4.844765204e-08,autocorrelations,en,bus,duru,t1
4.438424672,-4.877982178e-08,autocorrelations,en,bus,duru,t1
4.459262346,-4.928617552e-08,autocorrelations,en,bus,duru,t1
