"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717596785907503E9,"2024-06-05 16:13:05.908 UTC+02:00"
"PAUSE",1.551943613335025E2,1.717596941097737E9,"2024-06-05 16:15:41.098 UTC+02:00"
