"event","experiment time","system time","system time text"
"START",0.000000000E0,1717595593.006,"2024-06-05 15:53:13.006 UTC+02:00"
"PAUSE",1.592465240E2,1717595752.252,"2024-06-05 15:55:52.252 UTC+02:00"
