"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717599810260032E9,"2024-06-05 17:03:30.260 UTC+02:00"
"PAUSE",1.437309933751822E2,1.717599953990789E9,"2024-06-05 17:05:53.991 UTC+02:00"
"START",1.437309933751822E2,1.717600331913337E9,"2024-06-05 17:12:11.913 UTC+02:00"
"PAUSE",2.572589207501151E2,1.717600445441078E9,"2024-06-05 17:14:05.441 UTC+02:00"
