"event","experiment time","system time","system time text"
"START",0.000000000E0,1717598732.185,"2024-06-05 16:45:32.185 UTC+02:00"
"PAUSE",1.431424425E2,1717598875.328,"2024-06-05 16:47:55.328 UTC+02:00"
