"event","experiment time","system time","system time text"
"START",0.000000000E0,1717601911.535,"2024-06-05 17:38:31.535 UTC+02:00"
"PAUSE",1.219827643E2,1717602033.518,"2024-06-05 17:40:33.518 UTC+02:00"
