"Time (ms)","Recording (a.u.)"
3.729943738E0,8.474318311E-4
3.750781413E0,8.513642824E-4
3.771619087E0,8.145123720E-4
3.792456762E0,9.197247564E-4
3.813294436E0,8.432854665E-4
3.834132111E0,1.008050516E-3
3.854969785E0,9.852722287E-4
3.875807460E0,7.118817302E-4
3.896645134E0,6.877847482E-4
3.917482809E0,4.413383431E-4
3.938320483E0,6.083016051E-4
3.959158158E0,9.656038019E-4
3.979995832E0,9.557315498E-4
4.000833507E0,1.003509853E-3
4.021671181E0,6.789677427E-4
4.042508856E0,3.444835311E-4
4.063346531E0,3.011521185E-4
4.084184205E0,2.944443841E-4
4.105021880E0,5.785957328E-4
4.125859554E0,9.187964024E-4
4.146697229E0,1.050525927E-3
4.167534903E0,9.201288340E-4
4.188372578E0,7.435515872E-4
4.209210252E0,6.368032773E-4
4.230047927E0,4.857324529E-4
4.250885601E0,4.626773298E-4
4.271723276E0,5.528863985E-4
4.292560950E0,6.349582109E-4
4.313398625E0,5.720485351E-4
4.334236299E0,5.521251005E-4
4.355073974E0,6.878264248E-4
4.375911648E0,6.642264780E-4
4.396749323E0,5.871672183E-4
4.417586997E0,6.257864297E-4
4.438424672E0,6.695487536E-4
4.459262346E0,6.179537158E-4
4.480100021E0,6.782226264E-4
4.500937695E0,6.385935703E-4
4.521775370E0,3.400470014E-4
4.542613044E0,2.861811954E-4
4.563450719E0,2.308458206E-4
4.584288393E0,2.267000091E-4
4.605126068E0,4.328709038E-4
4.625963742E0,5.058512324E-4
4.646801417E0,6.187880645E-4
4.667639091E0,4.923364613E-4
4.688476766E0,2.077206882E-4
4.709314441E0,2.354141034E-4
4.730152115E0,3.524596104E-4
4.750989790E0,4.612262710E-4
4.771827464E0,4.634903162E-4
4.792665139E0,2.731178538E-4
4.813502813E0,8.936425729E-5
4.834340488E0,1.405063522E-4
4.855178162E0,2.531103964E-4
4.876015837E0,2.109251218E-4
4.896853511E0,2.284626971E-4
4.917691186E0,7.269636262E-5
4.938528860E0,-1.568283187E-4
4.959366535E0,1.088629433E-4
4.980204209E0,2.855454513E-4
5.001041884E0,2.369725116E-4
5.021879558E0,4.123794497E-4
5.042717233E0,3.136786981E-4
5.063554907E0,-1.413980499E-6
5.084392582E0,-1.631117775E-4
5.105230256E0,2.527436300E-5
5.126067931E0,4.596779763E-4
5.146905605E0,3.964496136E-4
5.167743280E0,2.604424662E-4
5.188580954E0,1.974232000E-4
5.209418629E0,1.019656338E-5
5.230256303E0,1.259229612E-4
5.251093978E0,1.339990704E-4
5.271931652E0,1.306434860E-4
5.292769327E0,1.336164860E-4
5.313607001E0,1.228461333E-4
5.334444676E0,2.773281594E-4
5.355282350E0,2.747574472E-4
5.376120025E0,3.033431713E-4
5.396957700E0,6.080248568E-5
5.417795374E0,-2.031538315E-4
5.438633049E0,-3.007670748E-4
5.459470723E0,-4.630022158E-4
5.480308398E0,4.110793816E-5
5.501146072E0,3.914166591E-4
5.521983747E0,1.485010143E-4
5.542821421E0,1.347299549E-4
5.563659096E0,-7.256715617E-5
5.584496770E0,-2.253584680E-4
5.605334445E0,1.727053314E-4
5.626172119E0,6.970898248E-4
5.647009794E0,6.909352960E-4
5.667847468E0,9.739305824E-5
5.688685143E0,-8.459654055E-5
5.709522817E0,-2.083520376E-4
5.730360492E0,-3.198393097E-4
5.751198166E0,1.411256962E-4
5.772035841E0,2.694310388E-4
5.792873515E0,2.103279694E-4
5.813711190E0,2.717364114E-4
5.834548864E0,3.433396923E-4
5.855386539E0,2.629846567E-4
5.876224213E0,2.803733805E-4
5.897061888E0,5.847617285E-4
5.917899562E0,2.397453645E-4
5.938737237E0,-3.427133197E-5
5.959574911E0,4.818875823E-5
5.980412586E0,1.321924501E-4
6.001250260E0,2.994238748E-4
6.022087935E0,3.533213458E-4
6.042925610E0,5.261892220E-4
6.063763284E0,4.520359798E-4
6.084600959E0,5.560856662E-4
6.105438633E0,4.494844761E-4
6.126276308E0,5.801487714E-5
6.147113982E0,1.923356322E-4
6.167951657E0,8.696550503E-5
6.188789331E0,8.063093992E-5
6.209627006E0,1.870952838E-4
6.230464680E0,2.013580670E-4
6.251302355E0,2.926514135E-4
6.272140029E0,3.502591280E-4
6.292977704E0,5.727364332E-4
6.313815378E0,4.973406903E-4
6.334653053E0,3.039055446E-4
6.355490727E0,1.979259687E-4
6.376328402E0,1.369536185E-4
6.397166076E0,2.819576912E-5
6.418003751E0,-1.173851633E-4
6.438841425E0,9.819515071E-6
6.459679100E0,1.580910757E-4
6.480516774E0,3.322762204E-4
6.501354449E0,3.779706021E-4
6.522192123E0,4.414785071E-4
6.543029798E0,3.202260705E-4
6.563867472E0,3.871621448E-5
6.584705147E0,2.070645860E-4
6.605542821E0,3.373678774E-4
6.626380496E0,5.944509176E-4
6.647218170E0,6.237778580E-4
6.668055845E0,3.942050098E-4
6.688893519E0,3.682583629E-4
6.709731194E0,4.162315236E-5
6.730568869E0,9.607746324E-5
