"event","experiment time","system time","system time text"
"START",0.000000000E0,1717582877.366,"2024-06-05 12:21:17.366 UTC+02:00"
"PAUSE",4.209929269E1,1717582919.465,"2024-06-05 12:21:59.465 UTC+02:00"
