"event","experiment time","system time","system time text"
"START",0.000000000E0,1717601350.618,"2024-06-05 17:29:10.618 UTC+02:00"
"PAUSE",1.135205655E2,1717601464.139,"2024-06-05 17:31:04.139 UTC+02:00"
